status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
86680728811_10154616561083812,"Wisconsin judge is recovering after getting a kidney from his best friend and fellow judge. ""I lost it, I completely lost it and I started crying because she literally gave me back my life.""",Judge Gives Life to Friend and Fellow Judge With Kidney Donation,link,http://abcn.ws/2a6BNqX,2016-07-25 18:42:33,1766,44,156,1414,338,13,3,2,0
86680728811_10154616526883812,"Men and women who have dedicated their lives to fighting fires are among those who have lost homes in massive Los Angeles-area wildfire that's burned more than 33,000 acres. ""Material things we can replace. But family you can't."" http://abcn.ws/2acSyhQ",Firefighters Among Families to Lose Homes in Massive LA-Area B...,video,https://www.facebook.com/ABCNews/videos/10154616526883812/,2016-07-25 18:22:29,753,34,132,338,7,78,0,327,3
86680728811_10154616478998812,Self-driving trucks can save the lives of the dozens of road workers who are killed each year by providing a crash cushion and barrier.,Self-Driving Trucks: Automation That Can Save Lives,link,http://abcn.ws/2akO4VE,2016-07-25 18:01:02,66,19,15,60,1,4,0,0,1
86680728811_10154616405578812,"DEVELOPING: 15 people killed, 45 others injured in stabbing attack at a disabled living facility near Tokyo, Japan's broadcasting company NHK reports.",15 Killed in Stabbing Attack Near Tokyo,link,http://abcn.ws/2alTvDU,2016-07-25 17:23:36,877,107,386,299,2,105,3,419,49
86680728811_10154616397038812,Wait for it... Video shows lightning striking the Empire State Building during Monday storm in New York City.,Lightning Strikes NYC's Empire State Building,video,https://www.facebook.com/ABCNews/videos/10154616397038812/,2016-07-25 17:19:38,2378,81,853,1706,40,628,4,0,0
86680728811_10154616371913812,"JUST IN: Federal officials believe Russian gov't-affiliated operatives hacked DNC, pushed material to Wikileaks in attempt to influence election.","'Beyond a Reasonable Doubt,' Russians Hacked DNC, Analyst Says",link,http://abcn.ws/2alRcAz,2016-07-25 17:07:19,2539,1097,1512,1436,29,460,394,22,198
86680728811_10154616354128812,"A small plane crashed into a house in Connecticut, spiraling out of control and diving through the roof of a man's home.","Small Plane Crashes Into House, Pilot and Homeowner Survive",link,http://abcn.ws/2a4Z2Of,2016-07-25 16:58:15,162,16,17,106,2,52,0,2,0
86680728811_10154616302838812,"DEVELOPING: 15 people killed and 45 others injured in a stabbing attack near Tokyo, Japan's NHK reports. http://abcn.ws/2alOScU",,status,,2016-07-25 16:36:11,1615,197,690,503,4,289,5,712,103
86680728811_10154616276573812,New Zealand athlete says he was kidnapped by police at gunpoint in Rio ahead of the Olympic games and forced to pay $610 for his release.,New Zealand Athlete Claims He Was Kidnapped by Police in Rio,link,http://abcn.ws/2a6bAsr,2016-07-25 16:23:57,423,74,73,196,4,158,13,28,24
86680728811_10154616228143812,"Supporters of Bernie Sanders booed as the former Democratic presidential contender told them, ""We must elect Hillary Clinton.""",Left-Wing Supporters Boo as Sanders Says 'We Must Elect Hillary Clinton',link,http://abcn.ws/2alJNBf,2016-07-25 16:03:37,1668,596,329,1116,77,42,308,64,62
