status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
21898300328_10154867040375329,"""When your alarm goes off and you're deciding whether to go to work or fake your own death.""",17 Images Only People Who Hate Themselves Will Understand,link,http://bzfd.it/2asdP8W,2016-07-25 18:16:00,2899,504,558,2372,158,6,308,30,26
21898300328_10154866916215329,It's all about that H2O.,17 Products For Anyone Who Drinks A Shit Ton Of Water,link,http://bzfd.it/2asbD1a,2016-07-25 17:31:00,1626,638,432,1536,70,1,20,0,0
21898300328_10154866893010329,1. Throw a quarter of an onion in the same container that you're storing your avocado in to stop it from going brown.,17 Crazy Kitchen Hacks You Have To Try,link,http://bzfd.it/2asas1F,2016-07-25 16:46:00,371,47,89,364,5,2,0,0,0
21898300328_10154866808555329,"""I remember doing the interview and being like, 'That was an odd one…"" - Margot Elise Robbie",Margot Robbie Spoke Out About That Weird Vanity Fair Article,link,http://bzfd.it/2as8IFJ,2016-07-25 16:01:00,944,21,16,874,37,3,29,0,1
21898300328_10154860520880329,So cute. So evil.,14 Terrifying Facts About Otherwise Adorable Animals,link,http://bzfd.it/2al9dPf,2016-07-25 15:16:00,1882,381,523,1579,39,233,19,11,1
21898300328_10154866773670329,"The notoriously apolitical NBA legend Michael Jordan tells ESPN site The Undefeated  he is ""saddened and frustrated by the divisive rhetoric and racial tensions.""","Michael Jordan Says He ""Can No Longer Stay Silent,"" Speaks Out On Police Shootings",link,http://bzfd.it/2a4NTww,2016-07-25 14:31:00,702,22,41,631,63,0,0,3,5
21898300328_10154866722050329,What did Kim Kardashian West and Calvin Harris talk about!?!?,"For Fuck's Sake, Kim And Calvin Were At A Party Together Saturday",link,http://bzfd.it/2a4MeHm,2016-07-25 13:46:00,2285,273,44,1936,59,17,265,1,7
21898300328_10154866714160329,Steal their secrets and everything you make will get a little bit more delicious.,17 Genius Cooking Tricks That Professional Chefs Want You To Know,link,http://bzfd.it/2apNEjl,2016-07-25 13:01:00,1337,142,445,1294,34,7,2,0,0
21898300328_10154866692695329,We asked Donald J. Trump supporters to write down a misconception about them and here's what happened.,21 Things Trump Supporters Want Their Haters To Know,link,http://bzfd.it/2a4JwSp,2016-07-25 12:16:00,10369,2424,1553,4138,247,192,4493,204,1095
21898300328_10154866649830329,"♫ Splish, splash, I was takin' a bath ♫",19 Unique Bath Bombs That'll Make You Feel So Damn Relaxed,link,http://bzfd.it/2a4HFge,2016-07-25 11:30:26,1181,192,252,1090,85,6,0,0,0
