status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
8358247707_10154588504222708,The silver lining to the biggest pain in your a**,"Acne Is They Key To Looking Younger For Longer, According to Science",link,http://csmo.us/QLWdbPa,2016-09-29 21:00:59,13,4,0,12,0,0,1,0,0
8358247707_10154588457327708,tbt to when Dippin' Dots was YOUR JAM,16 Mall Food Court Restaurants You Were Obsessed With in Middle School,link,http://csmo.us/wGosi1r,2016-09-29 20:31:05,156,4,9,143,10,0,1,2,0
8358247707_10154588411427708,Her plan was foiled when her hitman had a sudden change of heart,An Ohio Woman Reportedly Tried to Hire a Hitman to Stage a Car Crash and Kill her Husband,link,http://csmo.us/Nl1mtZD,2016-09-29 20:00:55,30,4,5,22,0,7,0,0,1
8358247707_10154588359752708,who did this you guys,This PSL Nail Art Is Either Really Fun or Super Disgusting,link,http://csmo.us/knknVXh,2016-09-29 19:31:03,107,58,45,75,1,6,23,2,0
8358247707_10154588329332708,(Though she's still *much* better than Donald J. Trump),8 Reasons I Still Have Reservations About a Hillary Clinton Presidency,link,http://csmo.us/qvsqMLo,2016-09-29 19:15:10,143,22,15,133,3,1,3,0,3
8358247707_10154588311802708,1. The decisions YOU make about parenting YOUR child.,9 Things Moms Should Never Apologize For,link,http://www.cosmopolitan.com/lifestyle/a4306276/things-moms-should-never-apologize-for/,2016-09-29 19:15:00,123,2,25,114,9,0,0,0,0
8358247707_10154588135582708,It's National Coffee Day! You need these princess lattes in your life RN ✨,Cosmo Bites,video,https://www.facebook.com/cosmobites/videos/550776235111154/,2016-09-29 19:15:00,593,32,0,495,56,40,1,1,0
8358247707_10154588304907708,YES PLS ☕️,This is The Best Coffee in Every State in 2016,link,http://csmo.us/R1dxxNU,2016-09-29 19:00:40,101,10,31,89,11,1,0,0,0
8358247707_10154588271372708,"Walmart, WTF",Walmart Receives Backlash For Selling Incredibly Offensive Mens T-Shirts,link,http://csmo.us/Ir0lR1d,2016-09-29 18:45:08,180,76,31,72,1,17,84,0,6
8358247707_10154588234192708,Here's what your boobs look like if you choose to breastfeed — and if you don't:,This Is How Your Boobs Will Change Throughout Your Lifetime,link,http://csmo.us/BCqmjS6,2016-09-29 18:30:13,192,63,36,163,2,7,11,6,3
8358247707_10154588202082708,9 unbearably cute moments of Princess Charlotte and Prince George being so stinkin' precious at a children's party: http://csmo.us/tq9Ou8n,Timeline Photos,photo,https://www.facebook.com/Cosmopolitan/photos/a.466145602707.256721.8358247707/10154588202082708/?type=3,2016-09-29 18:15:06,730,12,17,639,91,0,0,0,0
8358247707_10154588181222708,"Yes, he actually thinks about his penis falling off",12 Sex Fears Every Guy Has,link,http://csmo.us/u5BpCRA,2016-09-29 18:00:49,50,4,5,42,1,0,7,0,0
8358247707_10154588116752708,Here's what it's *really* like to get your eyebrows tatted on semi-permanently,I Got My Eyebrows Microbladed and Here's What Happened,link,http://csmo.us/CynayMF,2016-09-29 17:30:18,74,27,12,67,2,2,3,0,0
8358247707_10154588056007708,"Caroline Krafft doesn't have ""99 cent lip gloss on her snaggletooth,"" she's GORGEOUS 😱","You Have to See What the Girl Mathlete from ""Mean Girls"" Looks Like Today",link,http://csmo.us/ZKkC2yO,2016-09-29 17:15:09,202,31,14,184,1,2,15,0,0
8358247707_10154588026332708,The change she made the second time around made all the difference,This Woman's Baby Bump Looked Completely Different During Her Second Pregnancy,link,http://csmo.us/HwAsN8E,2016-09-29 17:00:45,530,27,30,467,25,35,0,2,1
8358247707_10154587991932708,Donald J. Trump has said some seriously AWFUL things about too many people to count.,"15 Times Donald Trump Fat-Shamed Kim Kardashian, Jennifer Lopez, and More",link,http://csmo.us/QdRHLqK,2016-09-29 16:45:06,362,106,29,238,1,5,21,3,94
8358247707_10154587816372708,Thinking about getting eyelash extensions? READ THIS:,12 Things I Wish I Knew Before Getting Eyelash Extensions,link,http://csmo.us/3UkyADr,2016-09-29 16:30:14,317,150,106,297,13,5,1,1,0
8358247707_10154587737737708,"All the key things to know about her eight-year trial, before watching the new Netflix documentary",Everything You Need to Know About the Amanda Knox Case,link,http://csmo.us/slFiyar,2016-09-29 16:00:15,82,20,26,79,0,1,0,0,2
8358247707_10154587649182708,A scary warning to anyone trying at-home beauty tricks,A Popular DIY Beauty Treatment Made My Eyebrows Fall Out,link,http://csmo.us/t65HkLn,2016-09-29 15:30:30,37,7,4,34,0,3,0,0,0
8358247707_10154587554277708,"""My MIL told me my future husband would be disappointed when he saw me walking down the aisle""",10 of the Most Awful Things Wedding Guests Have Ever Done,link,http://csmo.us/AYCJzun,2016-09-29 15:01:03,50,7,11,42,1,7,0,0,0
8358247707_10154587506842708,"1 girl explains what it was like spending the past 7 years of her life traveling the world.

(via Seventeen)",I'm 15 Years Old And I Grew Up on a Boat,link,http://csmo.us/z7ckRQe,2016-09-29 14:45:30,642,13,38,584,39,18,1,0,0
8358247707_10154587458812708,WTF IS IT — and should you try it? 🍆,"Everything You Need to Know About a ""Full Body Blow Job""",link,http://csmo.us/76kOfa1,2016-09-29 14:30:09,128,16,28,122,2,0,4,0,0
8358247707_10154587396057708,IMPORTANT: Are you more of a croissant or a pita?,Everyone Is Going Crazy for This Bread Personality Test,link,http://csmo.us/6nniseg,2016-09-29 14:00:29,265,154,160,229,7,1,28,0,0
8358247707_10154587337657708,"""It could literally cost me the rest of my adult life""","Reporter Who Said ""F*ck It"" and Quit on Live TV Faces Up to 24 Years in Prison",link,http://csmo.us/VSQU7E5,2016-09-29 13:30:19,1181,116,175,671,5,221,80,14,191
8358247707_10154587274062708,ALERT: There's more gross sh*t lurking in your loofah than you think,You May Want to Stop Using Your Mesh Shower Loofah Immediately,link,http://csmo.us/OaoAgBe,2016-09-29 13:00:39,110,87,33,96,0,14,0,0,0
8358247707_10154587232082708,Watch Donald J. Trump fat shame people throughout the years,Trump Fat Shaming,video,https://www.facebook.com/Cosmopolitan/videos/10154587232082708/,2016-09-29 12:45:47,211,76,71,103,0,19,8,3,78
8358247707_10154587203252708,"Even on Instagram, Gossip Girl is RUTHLESS as hell 😂",If Gossip Girl Had Instagram,link,http://csmo.us/NXlyIV0,2016-09-29 12:30:06,236,63,19,204,18,0,14,0,0
8358247707_10154587174092708,"You have to watch this mesmerizing crystal lip tutorial by Be You by Joh — you actually won't believe your eyes! Read how to recreate the look, here: http://bit.ly/2d9aGtu",Purple Geode Lip,video,https://www.facebook.com/Cosmopolitan/videos/10154587174092708/,2016-09-29 12:19:04,703,654,155,435,19,11,186,6,46
8358247707_10154587140297708,This will bring tears to your eyes </3,"Mom Texts Her Dead 21-Year-Old Son, Gets Heartbreaking Response",link,http://csmo.us/iZs0TSf,2016-09-29 12:00:15,367,8,12,288,19,0,0,60,0
8358247707_10154587079912708,"When this chick found all the awful tweets her roommate made about her, she went BALLS TO THE WALL",This College Student's Revenge Against Her Roommate's Subtweets Is Going Mega-Viral,link,http://csmo.us/4hb1vtY,2016-09-29 11:30:33,354,74,27,301,11,1,41,0,0
8358247707_10154587008122708,Another former Miss Universe is coming forward with her story of Donald J. Trump's mistreatment:,Former Miss Australia Says Donald Trump Fat-Shamed Her Too,link,http://csmo.us/RfErKqD,2016-09-29 11:00:53,90,12,1,75,0,2,2,2,9
8358247707_10154586933152708,#nationalcoffeeday,Cosmo Bites,photo,https://www.facebook.com/cosmobites/photos/a.489728841215894.1073741829.489596891229089/551244435064334/?type=3,2016-09-29 10:45:00,105,10,0,86,4,1,14,0,0
8358247707_10154586946357708,"""The list of things I don't allow my five-year-old daughter to eat often raises a few eyebrows.""",I Keep My Child On a Super Strict Diet,link,http://csmo.us/v4rAXhU,2016-09-29 10:30:27,355,44,52,313,27,8,1,3,3
8358247707_10154586917637708,This week's American Horror Story was crazy as hell:,Lady Gaga Turns Up as a Sexpot Forest Witch on American Horror Story,link,http://csmo.us/4dxygps,2016-09-29 10:15:21,2510,158,171,2302,150,47,10,1,0
8358247707_10154586890617708,The 13 ~sexiest~ photos of Kardashian underboob 🍒,13 Times the Kardashians Embraced Showing Underboob,link,http://csmo.us/kydWYfk,2016-09-29 10:00:33,115,13,2,111,3,2,0,0,0
8358247707_10154586869517708,What it's really like to watch porn as a couple,Esquire,video,https://www.facebook.com/Esquire/videos/10153828381381674/,2016-09-29 09:48:38,88,10,0,68,1,0,19,0,0
8358247707_10154586782987708,Are Taylor Swift and Calvin Harris out of the woods?!,Taylor Swift and Calvin Harris Are Reportedly Friends Again,link,http://csmo.us/Ih7MxhK,2016-09-29 09:30:12,479,22,13,420,9,7,42,0,1
8358247707_10154586729037708,"Damn, this Fifty Shades Darker-inspired lingerie collection is FIRE 🔥🔥🔥",Fifty Shades Darker Lingerie is Here to Help You Channel Your Inner Anastasia,link,http://csmo.us/yHgl5fn,2016-09-29 09:15:06,516,58,57,455,41,18,1,0,1
8358247707_10154586691017708,Not all heroes wear capes,This Teen Who Staged a Romantic Homecoming Proposal for Himself is #RelationshipGoals,link,http://csmo.us/lSef9M3,2016-09-29 09:00:41,37,4,0,37,0,0,0,0,0
8358247707_10154586626717708,"""We need an adult in the White House."" MIC DROP.",First Lady Michelle Obama Goes In On Donald Trump and the Birther Movement,link,http://csmo.us/JNqHLOX,2016-09-29 08:30:15,476,15,16,420,34,2,13,0,7
8358247707_10154586559622708,"The teenage suspect also killed his father, reports say.",A Gunman Shot 2 Students and a Teacher at an Elementary School in South Carolina,link,http://csmo.us/Sz2Y2P5,2016-09-29 08:00:49,205,13,11,90,1,3,0,69,42
8358247707_10154586463277708,What Donald J. Trump said about Kim Kardashian West is honestly so messed up:,Resurfaced Video Shows Donald Trump Body-Shaming Kim Kardashian While She Was Pregnant,link,http://www.cosmopolitan.com/politics/a4180183/donald-trump-body-shaming-pregnant-kim-kardashian/,2016-09-29 07:31:50,715,147,64,467,4,25,97,4,118
8358247707_10154586461957708,Master your contouring map like a pro ✨,The Right Way to Contour for Your Face Shape,link,http://csmo.us/anzlzWb,2016-09-29 07:31:00,91,6,20,88,2,1,0,0,0
8358247707_10154586385792708,Boy bye,My Boyfriend Keeps Bragging About the Sex He Had With His Ex,link,http://csmo.us/X2O6bId,2016-09-29 07:00:54,202,12,6,168,1,10,3,1,19
8358247707_10154586332517708,"What he's really craving, according to ~the stars~",The Best Sex Position for His Sign,link,http://csmo.us/DoSBC4y,2016-09-29 06:30:29,311,18,51,290,8,1,12,0,0
8358247707_10154586279782708,"IMPORTANT NEWS, Once Upon a Time fans","HALLELUJAH, Robin Hood Is Coming Back to ""Once Upon a Time""",link,http://csmo.us/JtNjiIi,2016-09-29 06:00:36,1893,128,143,1538,300,50,3,0,2
8358247707_10154586234022708,"""You can't wait for everyone to give you approval — you'll just be waiting."" 👏

cc: Younger","""Younger"" Stars Hilary Duff and Miriam Shor Share Their Best Advice for Twentysomething Women",link,http://csmo.us/9lgTh8B,2016-09-29 05:30:31,287,0,10,275,9,0,3,0,0
8358247707_10154586189527708,The *real* reason you swoon so hard when you meet the love of your life,"Here's How Your Body Knows Who's ""The One,"" According to Science",link,http://csmo.us/x7zeOpd,2016-09-29 05:00:39,395,25,100,364,18,11,2,0,0
8358247707_10154586151597708,"Boob mask, complete with cut-outs for your nipples at your service ( . )( . )",You Can Now Buy Face Masks for Your Boobs,link,http://csmo.us/pkvzRrA,2016-09-29 04:30:11,101,19,7,92,3,1,5,0,0
8358247707_10154586112632708,DRESS GOALS 🌮,Timeline Photos,photo,https://www.facebook.com/Cosmopolitan/photos/a.466145602707.256721.8358247707/10154586112632708/?type=3,2016-09-29 04:00:48,6911,917,1051,5805,355,19,734,0,0
