status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
106843036179_10154632057396180,"Whoa, creative medicine to the rescue!

From Fox411.",Rory Feek Reveals Daughter Indiana's Pneumonia Scare,link,http://fxn.ws/2dbb6Dc,2016-09-29 21:00:00,38,0,1,34,3,1,0,0,0
106843036179_10154632039221180,Gilmore Girls + National Coffee Day = A match made in heaven,'Gilmore Girls' Releases New Poster on National Coffee Day Because How Could They Not?,link,http://www.etonline.com/tv/199274_gilmore_girls_new_poster_national_coffee_day/,2016-09-29 20:04:12,838,7,30,749,84,3,2,0,0
106843036179_10154631570896180,Thomas Gibson welcomes Adam Rodriguez to Criminal Minds as his own exit nears.,,video,https://www.facebook.com/EntertainmentTonight/videos/10154631570896180/,2016-09-29 19:00:01,192,23,15,159,5,1,2,22,3
106843036179_10154631906886180,"Ummm, what?!","Rob Kardashian Says His Childhood Crush Was, Um... Kim Kardashian",link,http://www.etonline.com/tv/199252_rob_kardashian_childhood_crush_kim_kardashian/,2016-09-29 18:00:00,597,220,33,365,5,119,91,10,7
106843036179_10154631900921180,The only person who can come between Ben Affleck and Matt Damon is Tom Brady.,Ben Affleck Fights With Matt Damon Over Who's Closer to Tom Brady – Watch the Hilarious Exchange,link,http://www.etonline.com/news/199259_ben_affleck_fights_with_matt_damon_over_who_closer_to_tom_brady/,2016-09-29 17:00:01,1745,38,138,1353,59,10,322,1,0
106843036179_10154631415941180,Kourtney and Kim Kardashian West are showing some serious skin.,"Kim and Kourtney Kardashian Rock Insane Cut-Out, Pantsless Looks at Paris Fashion Week -- See the Jaw-Dropping Pics",link,http://www.etonline.com/fashion/199247_kim_and_kourtney_kardashian_rock_insane_cut_out_pantsless_looks_at_paris_fashion_week/,2016-09-29 16:00:00,490,121,20,447,12,7,16,1,7
106843036179_10154631562376180,Angelina Jolie and Brad Pitt may be working towards a resolution soon.,EXCLUSIVE: Angelina Jolie and Brad Pitt Camps Have Been Having 'Productive Discussions' Amid Split,link,http://www.etonline.com/news/199256_angelina_jolie_and_brad_pitt_camps_have_been_having_productive_discussions_amid_split/,2016-09-29 15:00:00,729,57,13,655,41,10,8,7,8
106843036179_10154631197131180,Kim Kardashian West even admits she likes Taylor Swift's music.,Kim Kardashian Says Kanye West Has 'No Hard Feelings' Toward Taylor Swift,link,http://www.etonline.com/news/199238_kim_kardashian_says_kanye_west_has_no_hard_feelings_toward_taylor_swift/,2016-09-29 14:00:00,255,68,7,239,4,0,10,0,2
106843036179_10154631313511180,Mila Kunis looks ready to party!,Pregnant Mila Kunis Is All Baby Bump as She Leaves Party Store Ahead of Daughter Wyatt's 2nd Birthday,link,http://www.etonline.com/news/199241_pregnant_mila_kunis_is_all_baby_bump_as_she_leaves_party_store_ahead_of_daughter_wyatt_2nd_birthday/,2016-09-29 13:00:00,1738,14,19,1656,71,6,3,0,2
106843036179_10154631196031180,Britney Spears has lived and learned.,Britney Spears Says Her 20s 'Were Horrible': 'I'm in a Really Good Place Right Now',link,http://www.etonline.com/news/199235_britney_spears_says_her_20s_were_horrible_i_m_a_really_good_place_right_now/,2016-09-29 12:00:01,1277,30,37,1196,74,2,4,1,0
