status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
84169421673_10153831041881674,Pretty much every one of your favorite brands is releasing a sell-out sneaker this weekend.,These Are the 15 Coolest Sneakers of the Week,link,http://esqr.co/qBMeCbT,2016-09-29 20:31:15,96,2,4,95,0,0,0,1,0
84169421673_10153830999506674,"Better than Coldplay, that's for sure.",It's Official: Lady Gaga Will Headline the Super Bowl Halftime Show,link,http://esqr.co/oXSLp04,2016-09-29 20:00:17,129,18,18,113,13,0,0,0,3
84169421673_10153830941381674,Don't knock it 'til you try it.,This Unusual Trick Is So Absurd It Might Just Help You Get to Sleep,link,http://esqr.co/oqAnahv,2016-09-29 19:30:35,20,1,2,20,0,0,0,0,0
84169421673_10153830891556674,Is Mars gonna be like Burning Man?,Elon Musk Had to Deal With Some Seriously Weird Audience Questions,link,http://esqr.co/OsXrPFf,2016-09-29 19:00:20,21,2,0,17,0,1,3,0,0
84169421673_10153830806341674,At least fans think so.,This Major Character May Be a Huge Part of 'Game of Thrones' Season 7,link,http://esqr.co/q9ANNAO,2016-09-29 18:00:18,22,2,5,21,1,0,0,0,0
84169421673_10153830757086674,That cozy studio's probably sounding pretty great right about now.,That Weed-Loving Reporter Who Quit on Live TV Is Facing Up to 24 Years in Jail,link,http://esqr.co/E7jiTV9,2016-09-29 17:30:18,91,13,8,52,2,5,13,6,13
84169421673_10153830701451674,Really?,What the F*ck Was Wal-Mart Thinking with These T-Shirts?,link,http://esqr.co/i6CLm2L,2016-09-29 17:00:49,42,3,8,29,1,0,12,0,0
84169421673_10153830650011674,Man challenges pro golfer. Man owns pro golfer.,This Might Be the Most American Video of All Time,link,http://esqr.co/dIcnFTk,2016-09-29 16:28:18,210,11,59,185,9,1,14,1,0
84169421673_10153830586276674,Emily Ratajkowski is a Woman We Love,Emily Ratajkowski Is a Woman We Love,video,https://www.facebook.com/Esquire/videos/10153830586276674/,2016-09-29 15:50:39,936,32,81,812,103,19,2,0,0
84169421673_10153830545516674,Get schooled on the air tie and the not-so-skinny pant trend you need to know about.,13 Style Lessons from the Best (and Worst) Dressed Men of the Week,link,http://esqr.co/nUz3C1g,2016-09-29 15:25:03,28,0,5,27,0,1,0,0,0
84169421673_10153830511606674,This shows how far* we've come.,Nixon vs. Kennedy vs. Trump: Who Wins?,link,http://esqr.co/S2uhBX0,2016-09-29 15:02:50,36,4,8,31,1,0,4,0,0
84169421673_10153830309151674,"You're not surprised at this point, are you?",Donald Trump Reportedly Wanted to Fire Golf Course Workers Who Weren't Pretty Enough,link,http://esqr.co/ywdHyXX,2016-09-29 14:10:05,54,21,7,31,1,2,7,0,13
84169421673_10153830245931674,A brief history of Brad Pitt's love life.,Brad Pitt's Love Life: A Timeline,video,https://www.facebook.com/Esquire/videos/10153830245931674/,2016-09-29 13:46:06,516,56,140,450,11,35,17,3,0
84169421673_10153830236981674,Style Lessons from the best (and worst) Dressed Men of the Week feat Megan Collins of Style Girlfriend,,video,https://www.facebook.com/Esquire/videos/10153830236981674/,2016-09-29 13:42:08,118,89,12,105,7,2,4,0,0
84169421673_10153830107526674,"""If your chin was anything like Tom's, that Batman movie of yours would have made about $4 billion.""",Watch Matt Damon and Ben Affleck Argue Over Who's Better Friends With Tom Brady,link,http://esqr.co/EP7lQ3h,2016-09-29 12:45:04,1125,131,228,870,30,0,221,2,2
84169421673_10153830070916674,Now he's only worth a cool $3.7 Billion.,​How Did Trump Lose $800 Million Dollars Last Year?​,link,http://esqr.co/EjWdYFI,2016-09-29 12:20:10,116,39,11,80,0,4,30,1,1
84169421673_10153830004721674,HBO has another major hit on its hands.,'Westworld' Is Not the Next 'Game of Thrones'— It's Much More Than That,link,http://esqr.co/JnMYD5U,2016-09-29 11:54:04,1147,72,163,1075,40,30,2,0,0
84169421673_10153829966951674,Cutting right through the bullsh*t.,Watch Megyn Kelly Destroy Donald Trump's Absurd History With Women,link,http://esqr.co/gVXpYhB,2016-09-29 11:29:55,238,19,26,197,7,1,33,0,0
84169421673_10153829870411674,"""It's just this one video. I feel dirty about it. Why is this a thing?""",Am I a Creep If I Watch Incest Porn?,link,http://esqr.co/t598ysG,2016-09-29 10:33:06,32,5,0,28,0,0,4,0,0
84169421673_10153829833201674,"Happy #NationalCoffeeDay, motherf*ckers.",Timeline Photos,photo,https://www.facebook.com/Esquire/photos/a.397333186673.178816.84169421673/10153829833201674/?type=3,2016-09-29 10:08:29,5256,106,1880,4745,233,8,269,1,0
84169421673_10153829805846674,,Cosmopolitan,video,https://www.facebook.com/Cosmopolitan/videos/10154585073542708/,2016-09-29 09:51:10,86,18,0,76,8,0,2,0,0
84169421673_10153829771681674,Namely Hillary Clinton.,Why Are We Still Asking Women to 'Smile More' in 2016?,link,http://esqr.co/iz7Tbce,2016-09-29 09:34:05,63,14,6,55,3,0,3,1,1
84169421673_10153829718541674,Gary Johnson is going for an all-time record for career fumbles.,Gary Johnson Bombed His 'Celebrity Jeopardy' Question Last Night,link,http://esqr.co/YeQ9FZB,2016-09-29 09:01:14,134,43,15,83,0,8,41,2,0
