status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
15704546335_10154654307786336,"""You do not have the right to violate the law, put the security of this nation in jeopardy, lie to the American people about it over and over again, meet with the FBI where all the rules are thrown to the wind and then say to the American people, 'I should be your president.' Really?"" – Judge Jeanine Pirro on Hillary Clinton",,video,https://www.facebook.com/FoxNews/videos/10154654307786336/,2016-09-29 22:15:00,761,60,201,682,65,4,9,0,5
15704546335_10154654561291336,"Jamie Brock ""wants to remain humble and quiet about it"" as he believes ""he did nothing any of the other volunteer firefighters wouldn't have done,"" said Scott Stoller with Anderson County Emergency Management.",Volunteer Firefighter Credited With Stopping South Carolina School Shooter,link,http://www.foxnews.com/us/2016/09/29/volunteer-firefighter-credited-with-stopping-south-carolina-school-shooter.html,2016-09-29 21:30:00,4041,130,247,3554,449,36,0,2,0
15704546335_10154654301726336,"""Colin Kaepernick and others who despise their country do have a right to vent. But by taking things out of context, by diminishing the proud history of this country in freeing millions of people all over the world, those anti-American displays insult us."" 

Do you agree with Bill O'Reilly? http://bit.ly/2dDGCW8",,video,https://www.facebook.com/FoxNews/videos/10154654301726336/,2016-09-29 20:45:00,7004,557,638,6581,269,9,10,8,127
15704546335_10154654366586336,"""Uncle Si"" Robertson of Duck Dynasty on A&E spoke about this year's election and why faith ""is the most important thing."" More: http://fxn.ws/2cXW0eN",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154654366586336/?type=3,2016-09-29 20:00:21,17444,697,2110,15818,1453,15,147,2,10
15704546335_10154654337716336,Conspiracy theorists have set the internet ablaze with rumors that Hillary Clinton cheated during the first debate to get an advantage against Donald J. Trump...,Hillary Conspiracy Theories Swirl After First Presidential Debate,link,http://insider.foxnews.com/2016/09/29/hillary-clinton-conspiracy-theories-swirl-after-first-presidential-debate,2016-09-29 19:00:56,19779,5753,7836,14849,170,568,1332,65,2795
15704546335_10154653837891336,"""I did [what] was instinctive in me - that was to protect and take action,"" Sheriff David Clarke told Fox Business.","Sheriff Clarke Takes Down Rowdy, Drunken Passenger on Flight",link,http://www.foxbusiness.com/features/2016/09/28/sheriff-clarke-takes-down-rowdy-drunken-passenger-on-nc-bound-flight.html,2016-09-29 18:04:57,13956,664,1211,12595,1161,52,143,0,5
15704546335_10154654131561336,"""Within a few days of knowing this dog, I found what was missing in my recovery.""",'She Saved Me': Vet Says Service Dog Helped Him Overcome Suicidal Thoughts,link,http://insider.foxnews.com/2016/09/29/marine-veteran-john-welch-service-dog-saved-my-life,2016-09-29 17:33:18,4350,112,906,3583,736,20,2,9,0
15704546335_10154653808351336,"During a rally in New Hampshire, Donald J. Trump said Bernie Sanders would've been ""legendary"" – had he not sold out to Hillary Clinton.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154653808351336/?type=3,2016-09-29 16:45:00,22399,2122,4368,19723,595,151,1558,130,242
15704546335_10154653909426336,An American heckler was challenged to put his putter where his mouth was after saying he could putt better than golf star Rory McIlroy and his Team Europe mates during a Ryder Cup practice round Thursday.,Heckler Sinks $100 Putt During Ryder Cup Practice,link,http://www.foxnews.com/sports/2016/09/29/heckler-sinks-100-putt-during-ryder-cup-practice.html,2016-09-29 16:00:00,9582,420,2276,7940,200,228,1212,1,1
15704546335_10154653726876336,Prince George and Princess Charlotte had a blast at a children's party for military families during the Royal Tour of Canada.,Photos from Fox News's post,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154653720706336/?type=3,2016-09-29 15:03:51,28962,859,1464,25320,3554,70,18,2,2
15704546335_10154653657061336,Watch Now: Donald J. Trump holds a campaign rally.,,video,https://www.facebook.com/FoxNews/videos/10154653657061336/,2016-09-29 14:28:21,33123,33198,3371,20971,10023,186,455,116,1372
15704546335_10154653697851336,"Update: A federal official said Cetin is a naturalized U.S. citizen. That means he was legally registered to vote, despite reports indicating he illegally voted three times.

The man who went on a shooting rampage at a Washington state mall is not a U.S. citizen, but that didn't stop him from voting.","Report: WA Mall Shooter Was Not U.S. Citizen, But Voted 3 Times",link,http://insider.foxnews.com/2016/09/29/cascade-mall-shooter-arcan-cetin-was-not-us-citizen-voted-three-times,2016-09-29 13:58:06,44469,7274,72344,13390,44,4983,414,439,25199
15704546335_10154653427341336,Hillary Clinton gives remarks at an early voting event.,,video,https://www.facebook.com/FoxNews/videos/10154653427341336/,2016-09-29 13:03:41,20923,40762,762,2828,1011,124,640,291,16031
15704546335_10154653361756336,"""Regular commuters left the safety of where they were standing…to help first responders evacuate injured people."" – Gov. Christie  

NJ Governor Chris Christie and NY Governor Andrew Cuomo give an update on the train crash that killed at least one person and injured more than 100 in Hoboken, New Jersey.",,video,https://www.facebook.com/FoxNews/videos/10154653361756336/,2016-09-29 12:56:28,6456,2935,1043,2956,310,149,27,2888,126
15704546335_10154653499301336,"Following the FBI director's testimony yesterday, Rep. Trey Gowdy said the final decision on Hillary Clinton's emails will be made by the American people on Election Day. http://bit.ly/2cOqMJr",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154653499301336/?type=3,2016-09-29 12:52:10,43397,3379,12732,39278,2988,146,157,55,774
15704546335_10154653387786336,This Donald J. Trump supporter took matters into his own hands after his Trump signs kept getting stolen or vandalized.,VIDEO: Man Zapped as He Tries to Steal Booby-Trapped Trump Sign,link,http://insider.foxnews.com/2016/09/29/video-man-zapped-he-tries-steal-booby-trapped-trump-sign,2016-09-29 11:53:39,124281,6597,48384,77389,6224,310,40269,23,67
15704546335_10154653148181336,"A mother whose son died in Iraq challenged President Obama on why he refuses to use the term ""Islamic terrorist.""",Gold Star Mom Challenges Obama: Why Won't You Say Islamic Terrorist?,link,http://insider.foxnews.com/2016/09/29/gold-star-mom-challenges-obama-why-wont-you-say-islamic-terrorist,2016-09-29 10:22:53,23920,3969,9294,19801,1155,223,130,226,2385
15704546335_10154653080721336,"""We never slowed down."" – Witness Jim Finan describes being on the train when it crashed in Hoboken, New Jersey http://bit.ly/2dcAshf",,video,https://www.facebook.com/FoxNews/videos/10154653080721336/,2016-09-29 09:53:33,1791,322,714,569,3,251,1,944,23
15704546335_10154653016111336,"Breaking News: There is at least one fatality and multiple people critically injured in the Hoboken, NJ commuter train crash, Fox News' Rick Levanthal reports. http://fxn.ws/2domKoq

Scanner audio below reveals the chaos from the scene.",,video,https://www.facebook.com/FoxNews/videos/10154653016111336/,2016-09-29 09:21:11,2563,273,1194,787,8,318,2,1432,16
15704546335_10154652972516336,"Scene from the commuter train crash in Hoboken, New Jersey. There are reports of over 100 people injured. http://fxn.ws/2domKoq

(Video Source: twitter.com/monduras)",Leon O on Twitter,video,https://twitter.com/monduras/status/781483651255111680,2016-09-29 08:59:29,623,138,316,218,3,112,0,287,3
