status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
8376212628_10154324838622629,"""Team Sanders we did AMAZING WORK. But we lost. It's a hard reality for some.""","Former Sanders Spokeswoman: We Weren't Cheated, We Lost",link,http://trib.al/gEEkPqr,2016-07-25 18:07:37,905,93,266,824,54,2,7,4,14
8376212628_10154324812677629,It's 400 degrees out and everyone came here to yell. Welcome to Philly. http://trib.al/UUUbxa4,"Welcome to Philly, America's Yellingest City",link,http://trib.al/UUUbxa4,2016-07-25 17:53:25,68,2,9,56,1,0,10,1,0
8376212628_10154324743867629,All your favorite dank Bernie Sanders memes have come to life at the DNC in Philly. http://trib.al/4XEdCR6,Here's Every Bernie Sanders Meme Come to Life,link,http://trib.al/4XEdCR6,2016-07-25 17:21:35,13,3,3,12,0,0,0,1,0
8376212628_10154324699337629,A former employee is reportedly in custody and has confessed to the crime.,"Report: At Least 15 Dead, 45 Injured After Stabbing at Home for the Disabled in Japan",link,http://trib.al/ZdjFJ8c,2016-07-25 17:01:50,81,18,24,20,0,15,0,39,7
8376212628_10154324681602629,"""These comments do not reflect the values of the DNC."" Clearly they do!","DNC Apologizes to Senator Bernie Sanders for Staffers' ""Disrespectful Remarks"" in Leaked Emails",link,http://trib.al/2sPpDAr,2016-07-25 16:54:40,117,33,12,73,4,0,12,1,27
8376212628_10154324650347629,Welcome to the first of several pro-Bernie Sanders rallies at the DNC. It's the internet come to life and it smells like Dr. Bronner's.,Here's Every Bernie Sanders Meme Come to Life,link,http://trib.al/seGx1zE,2016-07-25 16:42:53,67,14,7,49,1,0,9,4,4
8376212628_10154324606207629,Bernie supporters demonstrate across the street from the DNC venue in Philly,,video,https://www.facebook.com/Gawker/videos/10154324606207629/,2016-07-25 16:29:08,286,217,47,215,32,3,21,2,13
8376212628_10154324582137629,"We try the same with a guy in a ""Make America Great Again"" hat, but he bolts in terror. ""Build a wall, motherfucker!"" she yells.",My Week Stripping in Cleveland at the RNC: Part Two,link,http://trib.al/wXiGmOT,2016-07-25 16:20:49,25,2,10,22,1,0,2,0,0
8376212628_10154324497272629,"Today, Bernie Sanders instructed his supporters to vote for Hillary Clinton. So they booed him.",Bernie Sanders Booed By Supporters For Telling Them to Vote For Hillary Clinton,link,http://trib.al/d3zzJma,2016-07-25 15:44:02,436,98,112,264,9,11,61,68,23
8376212628_10154324476432629,It's hot and smelly in Philly.,"The Bernie Sanders Rally on Day 1 of the DNC Was Full of Sweat, Weed, and Conservative Clichés",link,http://trib.al/1yo9CHr,2016-07-25 15:36:12,92,31,11,72,0,0,17,1,2
8376212628_10154324420412629,"""Dangerous Donald is good. Let them complain.""","How the DNC Decided on ""Dangerous Donald""",link,http://trib.al/TkhnZ5x,2016-07-25 15:08:34,35,18,3,31,1,0,3,0,0
8376212628_10154324154397629,"Facebook wants to be a source for news, but the company's algorithm keeps ""accidentally"" removing or restricting access to news stories on its platform.",Facebook Admits It Blocked Links to Wikileaks DNC Emails,link,http://trib.al/b90CFzX,2016-07-25 13:12:50,587,60,355,336,1,34,13,8,195
8376212628_10154324124227629,Welcome to the city of brotherly love; the land of the free and the home of the swag.,Here's All the Free Shit Journalists Get at the DNC,link,http://trib.al/TT8WQWa,2016-07-25 12:58:13,18,15,0,16,0,0,2,0,0
8376212628_10154324053382629,Jezebel is live from the Bernie Sanders rally at the DNC in Philly.,Jezebel,video,https://www.facebook.com/Jezebel/videos/10153541372212434/,2016-07-25 12:21:08,127,39,0,106,17,1,3,0,0
8376212628_10154324042277629,CYBER INTRUSION.,"FBI Opens Investigation Into DNC Hack as Clinton Campaign Blames Trump-Putin ""Bromance""",link,http://trib.al/r6OiGl2,2016-07-25 12:17:11,205,52,60,163,5,12,17,0,8
8376212628_10154323967417629,"The player named it ""The Donald.""",Pokémon Go Player Says He Put A Magikarp In The White House To Send A Message,link,http://trib.al/aQgFw0z,2016-07-25 11:42:41,404,28,70,313,10,2,79,1,0
8376212628_10154323924012629,The grainy footage was taken by a neighbor from across the street.,Video Purports to Show Lindsay Lohan Claiming Her Fiancé 'Strangled' and 'Beat the Shit Out of' Her,link,http://trib.al/902hc4o,2016-07-25 11:24:02,70,24,12,51,0,10,0,9,0
8376212628_10154323889782629,"This morning, deposed Democratic Party chair Debbie Wasserman Schultz gave a pre-convention speech. It... did not go well.","Ex-DNC Chair Debbie Wasserman Schultz Heckled With Chants of ""Shame!"" at Pre-Convention Speech",link,http://trib.al/amCkR4s,2016-07-25 11:12:48,510,65,73,397,26,6,78,2,1
8376212628_10154323840542629,"""It feels like the devil arrived through Pokemon-Go and is trying to tear our morality apart from the inside.""",Russia To Launch Pokémon Go Clone Without CIA's Satanic Pokémons,link,http://trib.al/4sLqJUD,2016-07-25 10:49:48,31,1,6,20,1,0,10,0,0
8376212628_10154323747877629,"If this vaping Guy Fieri look-alike is anything to go by, it's going to be one hell of a week.",Welcome to Philly,link,http://trib.al/M8NwdFu,2016-07-25 10:23:39,27,6,2,26,0,0,1,0,0
8376212628_10154323707022629,What fresh hell is this?,Is Roger Ailes Going to Run Donald Trump's Presidential Campaign?,link,http://trib.al/Zp3vQQM,2016-07-25 10:03:19,217,43,72,106,1,25,71,2,12
8376212628_10154323454747629,L Niño is upon us.,L Train Scheduled to Shut Down Between Brooklyn and Manhattan for 18 Months,link,http://trib.al/VLrntjn,2016-07-25 07:57:17,105,19,32,75,2,16,8,3,1
8376212628_10154323380957629,Bye!,105 Days and a Wake Up,link,http://trib.al/pzmSXWv,2016-07-25 07:03:58,50,14,4,39,1,0,10,0,0
8376212628_10154322606847629,"""He's got a right to talk about whatever he wants to talk about, however, I don't think he was ever saying this was some sort of factual information.""",Reince Priebus Defends Donald Trump's Right to Imply Your Dad Killed JFK,link,http://trib.al/g849nXJ,2016-07-24 22:47:24,140,30,32,66,0,10,47,2,15
8376212628_10154322361337629,"The explosion, which officials characterized as ""deliberate,"" went off at a wine bar near a music festival that may have been the intended target.","1 Dead, 12 Injured After Suspected Bombing in Southern Germany",link,http://trib.al/6W8pL73,2016-07-24 20:44:07,49,21,25,19,0,3,0,23,4
8376212628_10154322292922629,"Although himself the son of Iranian asylum seekers, the gunman reportedly yelled ""anti-immigrant slurs"" during the attack.",Police: Munich Gunman Planned Attack For a Year,link,http://trib.al/ftKhyNl,2016-07-24 20:04:28,43,6,9,18,0,1,0,23,1
8376212628_10154322273992629,It's going to be a long four months.,Donald Trump Is Not Well,link,http://trib.al/ZyEWy21,2016-07-24 19:53:12,435,82,83,311,5,15,95,3,6
8376212628_10154321635272629,Debbie Wasserman Schultz says she'll resign at the end of the Democratic National Convention. http://trib.al/paniWpB,Timeline Photos,photo,https://www.facebook.com/Gawker/photos/a.427069192628.216954.8376212628/10154321635272629/?type=3,2016-07-24 15:18:58,90,41,16,71,5,1,11,0,2
8376212628_10154321440612629,The former New York City mayor has not been a registered Democrat since 2000. http://trib.al/PQaqZyL,Michael Bloomberg Will Endorse Hillary Clinton for President,link,http://trib.al/PQaqZyL,2016-07-24 13:55:25,1020,30,57,914,65,15,19,1,6
8376212628_10154321173422629,The DNC Chairwoman will reportedly no longer preside over the convention. http://trib.al/XpEKjh5,Former Fox News Executive Says Roger Ailes Acted Like a Responsible 'Mad Men' Character,link,http://trib.al/XpEKjh5,2016-07-24 12:12:02,22,4,2,18,0,1,3,0,0
8376212628_10154320997772629,"Leaked email suggests the DNC views Latinos as ""loyal consumers"" of the Democratic vote.  http://trib.al/3X0kdYi",Leaked DNC Email Refers to Potential Latino Voters as 'Brand Loyal Consumers',link,http://trib.al/3X0kdYi,2016-07-24 10:47:46,268,87,183,151,3,26,33,3,52
8376212628_10154320942737629,There will be no blanket ban on Russian athletes at the Rio Olympics. http://trib.al/eDJ4PXx,There Will Be No Blanket Ban on Russian Athletes at the Rio Olympics,link,http://trib.al/eDJ4PXx,2016-07-24 10:26:26,29,2,4,19,0,0,2,0,8
8376212628_10154319158432629,"DNC Communications Director ordered anti-Sanders article be shared ""without attribution.""  http://trib.al/xg4Xc9z",DNC Communications Director Ordered Anti-Sanders Article Be Shared 'Without Attribution',link,http://trib.al/xg4Xc9z,2016-07-23 17:36:48,341,42,101,157,1,16,8,6,153
8376212628_10154319073207629,"Vapes are banned at the Democratic Convention, welcome to Hillary's America. http://trib.al/e3cEXg4","Vapes Are Banned At the Democratic Convention, Welcome to Hillary's America",link,http://trib.al/e3cEXg4,2016-07-23 16:50:31,932,316,170,667,70,6,167,6,16
