status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
75932763901_10155401660673902,CONGRATULATIONS! Wedding AND a baby for Blake Shelton and Gwen Stefani — Life & Style Weekly has the exciting details: http://bit.ly/2cEjsSh,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155401660673902/?type=3,2016-09-29 21:00:00,5,1,0,5,0,0,0,0,0
75932763901_10155400780673902,HUGE news for Kate Gosselin and her family! See the exciting announcement —> http://bit.ly/2ddOxJV,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155400780673902/?type=3,2016-09-29 20:30:00,50,3,0,49,1,0,0,0,0
75932763901_10155401669148902,RIP. Grease star Olivia Newton-John just made a very sad family confession (via Closer Weekly) —> http://bit.ly/2dCHPNt,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155401669148902/?type=3,2016-09-29 20:00:01,87,6,4,64,0,4,0,19,0
75932763901_10155400727568902,LOW BLOW: Ben Affleck finally comes clean about his toxic relationship with Jennifer Garner — and we can only imagine how their kids are taking the news —> http://bit.ly/2dcCSMR,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155400727568902/?type=3,2016-09-29 19:30:00,15,0,0,15,0,0,0,0,0
75932763901_10155401198078902,"OMG! Snooki's SHOCKING hookup revealed — when you find out who the A-List celeb is, you'll understand why Jionni must be totally EMBARRASSED!  —> http://bit.ly/1VVls8J",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155401198078902/?type=3,2016-09-29 19:00:00,49,3,2,47,0,0,0,1,1
75932763901_10155400698808902,TRANSFORMATION: Sofia Vergara doesn't look like THIS anymore — check out the actress' surprising new look —> http://bit.ly/2dnu4Er,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155400698808902/?type=3,2016-09-29 18:30:00,82,2,3,81,0,1,0,0,0
75932763901_10155400655438902,"Following their split two years ago, Robert Pattinson makes an unexpected confession about Kristen Stewart — and fans are THRILLED over the news! —> http://bit.ly/2d8szJa",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155400655438902/?type=3,2016-09-29 18:00:00,103,1,8,98,3,2,0,0,0
75932763901_10155400565328902,She's PREGNANT! Fans are freaking out over this Kardashian family news —> http://bit.ly/2d8prwX,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155400565328902/?type=3,2016-09-29 17:30:00,36,6,3,34,0,0,0,0,2
75932763901_10155401569133902,"This photo of Teen Mom 2 star Jenelle Evans is getting A LOT of attention — and when you see what's going on in the bottom half, you'll understand why!: http://bit.ly/2cOSyWg",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155401569133902/?type=3,2016-09-29 17:00:00,59,2,3,57,2,0,0,0,0
75932763901_10155401552973902,"Just one week before her wedding to Taylor McKinney, Maci Bookout makes a shocking confession about ex Ryan Edwards — and we can only imagine how their son Bentley feels about the news! —> http://bit.ly/2cOSyWg",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155401552973902/?type=3,2016-09-29 16:30:00,205,5,5,197,8,0,0,0,0
