status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
155869377766434_1242120459217537,"Is the DNC still holding a roll call vote that includes Bernie Sanders as a nominee?

Watch more: http://nbcnews.to/2asM9Rg",Jane Sanders' 'Hot Mic' Moment,video,https://www.facebook.com/NBCNews/videos/1242120459217537/,2016-07-25 18:37:32,332,108,50,262,40,18,8,0,5
155869377766434_1449027168450642,"Jenkins' ""Left Behind"" novels crashed mainstream best-seller lists in the 1990s and the 2000s, which until then had been all but unheard of for Christian-themed fiction.","'Left Behind' Co-Author Tim LaHaye, Leading Evangelical, Dies",link,http://nbcnews.to/2aa6n0a,2016-07-25 17:52:25,173,60,77,86,3,8,4,71,1
155869377766434_1448995705120455,"The stabbings occurred early Tuesday morning in Sagamihara, west of Tokyo, the Kyodo news reported.",At Least 15 Killed in Japan Stabbing Spree: Reports,link,http://nbcnews.to/2a5kaUy,2016-07-25 17:09:56,518,104,199,189,0,66,0,222,41
155869377766434_1448989335121092,Bernie Sanders told supporters that the immediate goal is to defeat Donald J. Trump.,Sanders Booed by Own Delegates for Urging Support for Clinton,link,http://nbcnews.to/2a6Qham,2016-07-25 17:00:20,2254,662,344,1630,127,56,292,69,82
155869377766434_1448967461789946,What's next for Marissa Mayer?,Yahoo CEO Mayer 'Open Minded' About the Future After Verizon Deal,link,http://nbcnews.to/2a9QBlJ,2016-07-25 16:30:13,74,54,6,70,0,4,0,0,0
155869377766434_1448948918458467,Donald J. Trump scoffed at the notion.,Trump: Claim That Russia Hacked DNC to Help Him Is a 'Joke',link,http://nbcnews.to/2a55STN,2016-07-25 16:00:26,686,681,116,442,12,12,121,5,94
155869377766434_1448921791794513,Don't miss a moment from the opening night of the DNC! Watch our livestream here.,The 2016 Democratic National Convention Kicks Off in Philadelphia,link,http://nbcnews.to/2asqQ2j,2016-07-25 15:09:51,404,444,79,315,35,0,44,2,8
155869377766434_1448875041799188,"""I can no longer stay silent,"" Michael Jordan wrote.",Michael Jordan Speaks Out About Gun Violence,link,http://nbcnews.to/2aprtKv,2016-07-25 14:14:17,2680,258,295,2391,223,35,14,7,10
155869377766434_1448844665135559,"Debbie Wasserman Schultz says she will not gavel in the Democratic National Convention so it can start ""on a high note.""",Embattled DNC Chief Won't Speak at Convention,link,http://nbcnews.to/2al5H7G,2016-07-25 13:22:47,1262,526,92,950,82,10,191,11,18
155869377766434_1448759648477394,"From cheesesteaks and ""Rocky"" to the Liberty Bell and Independence Hall, there is much to see and do in Philadelphia. But this week, the Democratic National Convention takes center stage. 

Can't make it to Philly? Move the video with your mouse or fingers to get a full view of the city as if you were there.",,video,https://www.facebook.com/NBCNews/videos/1448759648477394/,2016-07-25 13:00:00,150,62,40,133,8,2,5,0,2
155869377766434_1448813611805331,"Viruses like Zika often lead to ""explosive outbreaks,"" researchers say.","More Than a Million Moms At Risk of Zika, Study Finds",link,http://nbcnews.to/2aFQ5KZ,2016-07-25 12:45:08,189,39,48,126,0,13,1,46,3
155869377766434_1448797838473575,"Blame it on the ""heat dome.""",'No Relief' As Heat Wave Scorches the East Coast,link,http://nbcnews.to/2aeliaI,2016-07-25 12:20:07,118,39,22,105,2,7,2,1,1
155869377766434_1448772245142801,"After finishing his shift working at a bar, the University of Florida linebacker noticed what he says was a man allegedly sexually assaulting a 19-year-old woman behind a dumpster.
Via NBC 6",College Football Player Thwarts Alleged Rape Behind Bar,link,http://nbcnews.to/2aoWGxs,2016-07-25 11:45:16,2161,100,148,1875,175,87,1,14,9
155869377766434_1448726951813997,"WATCH: Debbie Wasserman-Schultz gets booed at her own Florida delegation breakfast before the Democratic National Convention kicks off.

Read more here: http://nbcnews.to/2al5H7G",,video,https://www.facebook.com/NBCNews/videos/1448726951813997/,2016-07-25 11:13:00,2005,624,296,1270,94,40,558,19,24
155869377766434_1448733815146644,The chilling moment was caught on camera.,Tiger Kills Tourist Who Got Out of Car at Safari Park,link,http://nbcnews.to/2aa29D1,2016-07-25 11:01:23,9406,2643,8047,4704,42,2584,305,1618,154
155869377766434_1448703391816353,"A video found on the bomber's phone showed him announcing ""revenge"" against Germany ""for standing in the way of Islam,"" one official said.",Ansbach Suicide Bomber Had Pledged Allegiance to ISIS,link,http://nbcnews.to/2a7k4cV,2016-07-25 10:17:00,132,58,36,69,0,4,1,24,34
155869377766434_1448666251820067,One in three of those casualties was a child.,U.N.: Civilian Death Toll Reaches Record High in Afghanistan,link,http://nbcnews.to/2arHmPY,2016-07-25 09:39:12,477,55,61,203,1,4,1,229,39
155869377766434_1448526088500750,"Prince Harry opens up about mental health, saying he wishes he'd spoken more about Princess Diana's death http://nbcnews.to/2abvD6q",,video,https://www.facebook.com/NBCNews/videos/1448526088500750/,2016-07-25 09:00:00,4869,133,559,4136,498,17,2,215,1
155869377766434_1448586411828051,Here's why the first day will be all about Bernie Sanders.,Democratic Unity to Be Tested on Opening Day of Convention,link,http://nbcnews.to/2a4igmL,2016-07-25 08:37:50,766,465,55,621,64,11,54,4,12
155869377766434_1448565978496761,What will Bernie Sanders do?,First Read: Bernie's Big Night at the DNC,link,http://nbcnews.to/2anqtoy,2016-07-25 08:00:26,787,453,46,683,58,10,28,3,5
155869377766434_1448534981833194,"GRAPHIC WARNING: The woman attack by the tiger here survived, but the woman who chased after her was killed by another tiger. Full story: http://nbcnews.to/2aa29D1",,video,https://www.facebook.com/NBCNews/videos/1448534981833194/,2016-07-25 07:06:30,8525,1728,6788,3955,23,2545,116,1749,137
155869377766434_1448520531834639,The deal ends months of uncertainty about Yahoo's future.,Verizon Announces $4.8B Deal to Buy Yahoo,link,http://nbcnews.to/29Z6lFc,2016-07-25 06:33:58,293,51,88,231,2,43,8,3,6
155869377766434_1448506095169416,Why Barack Obama could be the difference between Hillary Clinton winning or losing the White House.,It's Clinton's Week but Here's Why Obama Is Key,link,http://nbcnews.to/2amHFdH,2016-07-25 06:00:31,866,415,43,702,88,5,46,2,23
155869377766434_1448488728504486,"About 50,000 people applied for demonstration permits for each day of the convention that starts today.",Philadelphia Officers 'Prepared' to Keep Democratic Convention Safe,link,http://nbcnews.to/2abSiR5,2016-07-25 05:30:28,595,181,75,507,11,41,32,1,3
155869377766434_1448483028505056,"A Syrian blew himself up Sunday night outside a music festival in Germany in what an official said was likely an ""Islamist suicide attack.""",Refugee-Turned-Backpack Bomber Made Previous Suicide Bids,link,http://nbcnews.to/2a7jJ9Y,2016-07-25 05:19:38,491,112,127,223,1,19,4,110,134
155869377766434_1448461571840535,The wildfire raging near Los Angeles tripled in size over the weekend.,Smoke From Huge L.A. Wildfire Reaches Las Vegas,link,http://nbcnews.to/2a7dqDz,2016-07-25 04:23:58,1335,46,372,614,4,336,4,367,10
155869377766434_1448427258510633,"BREAKING: Two people are dead and ""at least 14-16 people"" are wounded.",At Least 16 Shot Outside Florida Nightclub,link,http://nbcnews.to/2ak786q,2016-07-25 03:18:17,12641,1419,13476,4721,32,1503,22,5248,1115
