status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
60342206410_10154496683141411,But there are good reasons why humans have longer nasal passages than their relatives,Your Nose Is Bad At Warming Air,link,http://bit.ly/2di1ySW,2016-09-29 21:15:10,7,0,0,5,1,0,1,0,0
60342206410_10154496641466411,Put down the bologna!,8 Steps To Sustainable Meat And Milk,link,http://bit.ly/2cFbPLh,2016-09-29 20:45:08,29,2,3,26,3,0,0,0,0
60342206410_10154496155666411,"Just because Measles has been eliminated, doesn't mean its completely eradicated","The Americas Just Eliminated Measles, But Vaccination Will Help It Stay Gone",link,http://www.popsci.com/americas-just-eliminated-measles-vaccination-will-help-it-stay-gone?src=SOC&dom=fb,2016-09-29 20:30:01,45,3,10,43,1,0,1,0,0
60342206410_10154496590881411,22 insect specimens in all their glamorous detail.,Detailed Portraits Turn Dead Insects Into Stunning Artwork,link,http://bit.ly/2cF9AYc,2016-09-29 20:15:08,25,1,4,21,4,0,0,0,0
60342206410_10154496542021411,"When President Dwight Eisenhower called to create a civilian space agency, the United States Air Force assumed it would lead any national spaceflight effort.",How The Air Force Planned To Put Men On The Moon,link,http://bit.ly/2cF7Ez5,2016-09-29 19:45:08,62,1,4,58,2,2,0,0,0
60342206410_10154496495346411,An ocean-going lab that rivals the Starship Enterprise in scope,A Spaceship For The Sea,link,http://bit.ly/2dhTx0j,2016-09-29 19:15:09,437,11,85,398,15,20,4,0,0
60342206410_10154496149876411,"Nobody can own a celestial body, according to the Outer Space Treaty",Do Earth Laws Apply To Mars Colonists?,link,http://www.popsci.com/who-would-rule-colony-on-mars?src=SOC&dom=fb,2016-09-29 19:00:00,159,11,34,150,1,4,4,0,0
60342206410_10154496441596411,Are you afraid of snakes and/or spiders?,Humans Are Better At Noticing Snakes Than We Are At Seeing Spiders,link,http://bit.ly/2cF3eby,2016-09-29 18:45:07,107,32,27,98,3,4,2,0,0
60342206410_10154496396646411,Family history is more important than eye color,Why Are There More Blue-Eyed Alcoholics?,link,http://bit.ly/2dhOBJ4,2016-09-29 18:15:07,116,29,26,93,2,9,12,0,0
60342206410_10154496316451411,"""Grown siblings start to behave as if they're eight years old.""",Why Are Holidays With Your Family So Stressful?,link,http://bit.ly/2dhLkJy,2016-09-29 17:45:08,58,4,13,50,2,1,5,0,0
60342206410_10154496257716411,Kylo Ren has nothing on this,"Watch This Homemade, Gas-Powered Lightsaber Destroy Things",link,http://bit.ly/2dhJTef,2016-09-29 17:15:09,254,12,70,226,6,16,6,0,0
60342206410_10154496138781411,"""It's like vaccinating the baby without actually vaccinating the baby""",Mothers' Milk Teaches Babies To Defend Themselves,link,http://www.popsci.com/mothers-milk-teaches-babies-to-defend-themselves?src=SOC&dom=fb,2016-09-29 17:00:00,203,22,42,185,8,3,1,0,6
