status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
112402358796244_775366239166516,"YES to this, Playboy. 👏",Playboy Actually Gets It Right With Catcall Flowchart,link,http://www.popsugar.com/love/Flowchart-Should-You-Catcall-Her-35578742,2016-09-29 21:00:01,0,0,0,0,0,0,0,0,0
112402358796244_775364672500006,"Mamé Adjei is speaking up for what ""pretty"" actually means as the new face of the #IDefinePretty campaign.","How Ghanaian-American Model Mamé Adjei Is Redefining ""Pretty""",video,https://www.facebook.com/PopSugar/videos/775364672500006/,2016-09-29 20:02:40,1,0,0,1,0,0,0,0,0
112402358796244_775348852501588,"Target, our one true love. 💕","Dear Target, Let Me Explain Why I Love You",link,http://www.popsugar.com/smart-living/Why-Target-Best-42481059,2016-09-29 19:30:01,4,2,1,4,0,0,0,0,0
112402358796244_775339579169182,This is horrible.,Abandoned Pit Bulls in Montreal Just Received a Devastating Death Sentence,link,http://www.popsugar.com/pets/Montreal-Law-Banning-Pit-Bulls-42479731,2016-09-29 19:00:00,27,3,7,3,0,0,0,10,14
112402358796244_775313585838448,A little pin-spiration for Halloween!,20 of the Top Pinned Halloween Costumes of 2016,link,http://www.popsugar.com/smart-living/Top-Pinned-Halloween-Costumes-2016-42476137,2016-09-29 18:00:01,5,0,2,5,0,0,0,0,0
112402358796244_775306439172496,Too cute to handle. 😱,You Are Not Ready For These Photos of Prince George and Princess Charlotte's Canadian Play Date,link,http://www.popsugar.com/celebrity/Prince-George-Princess-Charlotte-Canada-Pictures-2016-42481625,2016-09-29 17:00:01,373,16,26,326,47,0,0,0,0
112402358796244_775346695835137,Scientists have confirmed what we've always thought: our dogs totally get what we're telling them.,"Finally, Scientific Proof Your Dog Understands What You're Saying",video,https://www.facebook.com/PopSugar/videos/775346695835137/,2016-09-29 16:20:24,53,3,13,49,4,0,0,0,0
112402358796244_775291849173955,Not looking good for Gary Johnson.,You Will Cringe Watching Gary Johnson Struggle to Name a Foreign Leader,link,http://www.popsugar.com/news/Gary-Johnson-Gaffes-42480743,2016-09-29 15:30:00,7,5,5,4,0,1,0,2,0
112402358796244_775208725848934,FALL IS UPON US. (via Girl With No Job),Timeline Photos,photo,https://www.facebook.com/PopSugar/photos/a.647500031953138.1073741827.112402358796244/775208725848934/?type=3,2016-09-29 15:00:01,201,13,116,118,8,1,74,0,0
112402358796244_775285422507931,Someone get this guy an award.,"Boyfriend of the Year Makes Tiny Kitten Pancakes, Entire Internet Swoons",link,http://www.popsugar.com/pets/Boyfriend-Makes-Tiny-Pancakes-Kitten-42480610,2016-09-29 14:25:16,32,2,8,26,6,0,0,0,0
