status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
208421665712_10157401860490713,Dr Dre got cuffed & searched after someone claimed he had a gun.,Dre Search & Cuffed,video,https://www.facebook.com/TMZ/videos/10157401860490713/,2016-07-25 18:29:00,88,23,21,65,0,14,1,0,8
208421665712_10157401855210713,You can look at Justin Timberlake but don't touch him ... and definitely don't SLAP him!,Justin Timberlake -- Slapped at Golf Tourney ... Fan Arrested. (VIDEO),link,http://tmz.me/1NxLXdX,2016-07-25 17:53:59,1664,315,303,1053,8,296,234,13,60
208421665712_10157400813605713,"Cristiano Ronaldo did Vegas with Kim Kardashian West, Conor McGregor & Jennifer Lopez.",Cristiano Takes Vegas,video,https://www.facebook.com/TMZ/videos/10157400813605713/,2016-07-25 17:30:00,188,18,12,176,5,1,4,0,2
208421665712_10157401451565713,The cops pulled up right to Dr Dre's front door!,Dr. Dre -- Searched By Cops in Alleged Racial Road Rage Case (PHOTOS),link,http://tmz.me/hU1akiJ,2016-07-25 15:57:52,4828,464,1626,3664,12,753,230,29,140
208421665712_10157401087830713,Mariah Carey did a 'Touch My Body' reshoot!,Mariah Carey -- My Fiance's Got A Real Hold On Me (PHOTOS),link,http://tmz.me/aSq2VGz,2016-07-25 14:50:04,1175,174,38,1050,40,9,72,3,1
208421665712_10157401036265713,Congrats! Omarosa got herself a Rock & Pastor.,Omarosa -- I'm Engaged!!! Check Out The Rock! (PHOTO),link,http://tmz.me/fWNjsJm,2016-07-25 14:41:00,812,214,44,702,34,12,55,4,5
208421665712_10157400791805713,See RARE pic of Justice League's Jason Momoa's son with Lisa Bonet … he's the perfect mix of his parents! (via TooFab ),Jason Momoa & Lisa Bonet's Son Does Comic-Con with Dad — Wait'll You See This Cute Kid!,link,http://tmz.me/bRS684N,2016-07-25 13:45:08,237,15,9,219,18,0,0,0,0
208421665712_10157400394490713,"Calvin Harris with Taylor Swift's latest arch enemy, Kim Kardashian West?!",Calvin With Taylor's Latest Arch Enemy,video,https://www.facebook.com/TMZ/videos/10157400394490713/,2016-07-25 13:30:00,460,114,14,380,10,5,58,1,6
208421665712_10157400695505713,"After dissing law enforcement, Florida Georgia Line had to crawl back for protection.",Florida Georgia Line -- Backstage Cop Trouble ... Police Pull Escort Detail,link,http://tmz.me/HYuOsE7,2016-07-25 13:18:03,3089,855,2693,1649,16,100,832,14,479
208421665712_10157400544030713,Teen Mom Farrah Abraham flaunts IMPOSSIBLE ass in tiniest bikini. (via Fishwrapper ),Exclusive: Farrah Abraham's Body (And Ethics) Knows No Bound ... aries,link,http://tmz.me/va7JMgm,2016-07-25 12:45:11,481,280,49,418,7,13,30,3,10
208421665712_10157400507985713,Things went south in this tiger enclosure.,Tiger Attack -- Woman Mauled to Death in China (VIDEO),link,http://tmz.me/m6PH1cP,2016-07-25 12:38:31,4338,1101,1665,2474,14,1110,115,597,29
208421665712_10157400386150713,Alessandra Ambrosio is still floatin' through life.,"Alessandra Ambrosio -- Making a Splash with Sofia Richie ... Look, Don't Touch! (PHOTO GALLERY)",link,http://tmz.me/n7IiIXW,2016-07-25 12:15:11,608,38,17,590,11,2,5,0,0
208421665712_10157400285935713,Michael Jordan can't stay silent any longer on the killing of black men.,Michael Jordan -- 'Deeply Troubled' By Cop vs. Black Killings ... Donating $2 Mil to Orgs.,link,http://tmz.me/QWLZvxV,2016-07-25 11:55:51,4829,584,1193,4300,348,120,20,19,22
208421665712_10157400166355713,Lindsay Lohan FLEES London & Fiance?!,Lindsay Lohan -- Bolts Outta London After Cops Storm Apartment (PHOTOS),link,http://tmz.me/wKsnpvY,2016-07-25 11:24:47,381,58,32,324,2,28,11,15,1
208421665712_10157400140165713,Esai Morales had a surprising view on Donald J. Trump.,Esai Morales -- First Latino U.S. Prez (On TV) Might Be a Trump Man (VIDEO),link,http://tmz.me/XNlcrEb,2016-07-25 11:16:27,520,116,43,400,18,27,13,4,58
208421665712_10157399960890713,Jeremy Renner's ex claims the Avengers star is stiffing her.,Jeremy Renner's Ex-Wife -- He's Stiffing Me On Preschool Tuition,link,http://tmz.me/vl0ZcS5,2016-07-25 10:29:03,319,105,22,257,1,8,37,3,13
208421665712_10157399924015713,Peyton Manning in the CLEAR!,Peyton Manning -- Cleared In Extensive PED Investigation ... NFL Says,link,http://tmz.me/irA6gzp,2016-07-25 10:18:44,482,36,49,440,31,0,6,0,5
208421665712_10157399882435713,New England Patriots Julian Edelman takes it public with Adriana Lima 👍,NFL's Julian Edelman -- Dating Adriana Lima ... PDA On the Pier (PHOTOS),link,http://tmz.me/I0quUN4,2016-07-25 10:08:28,2455,277,280,2212,105,79,9,37,13
208421665712_10157399837580713,Cristiano Ronaldo & Kim Kardashian West's stars aligned for Jennifer Lopez.,Cristiano Ronaldo -- Dancing Next to Kim Kardashian ... At J Lo Concert (VIDEO),link,http://tmz.me/bCDqFUY,2016-07-25 09:56:21,4308,271,177,4030,123,24,128,3,0
208421665712_10157399733015713,Ariel Winter is dealing with the SoCal heat! 🔥,Ariel Winter -- My Summers Are Really Short (PHOTO),link,http://tmz.me/bDBjdlc,2016-07-25 09:23:32,4325,181,104,3997,198,116,10,2,3
208421665712_10157399685540713,A Donald J. Trump mocking Miley Cyrus was out & about with Liam Hemsworth.,Miley Cyrus -- Out with Liam Hemsworth ... Mocks Donald Trump (PHOTOS),link,http://tmz.me/pJicbme,2016-07-25 09:11:50,1642,160,38,1392,78,7,144,0,21
208421665712_10157399561600713,Search On for Suspects that Left 2 Dead & 16 Injured at Teen Nightclub.,Teen Nightclub Shooting -- 2 Dead ... Search On for Suspects,link,http://tmz.me/WA9molS,2016-07-25 08:36:50,1045,111,271,603,2,50,1,251,139
208421665712_10157399466390713,"Take Conor McGregor & Cristiano Ronaldo sparring shirtless, and add in Jennifer Lopez - what more could you want?",Conor McGregor -- Shirtless Showdown ... with Ronaldo (pics),link,http://tmz.me/HVg57C0,2016-07-25 08:08:31,1611,69,51,1485,86,27,12,0,1
208421665712_10157399249945713,Kourtney Kardashian rented a mansion for the summer ... and Scott Disick tagged along too.,"Kourtney Kardashian & Scott Disick -- **** It, We're in Nantucket!!! (PHOTO GALLERY)",link,http://tmz.me/EWV9jur,2016-07-25 07:05:06,3028,157,78,2872,83,14,51,2,7
208421665712_10157399224925713,The guy who paid to look like Justin Bieber died from a cocktail of pills.,Justin Bieber -- Look-alike Died from Pill Mash-Up,link,http://tmz.me/ULIrKze,2016-07-25 07:00:15,6127,1086,1405,3237,19,1265,255,1334,17
208421665712_10157399183295713,Burglar Bunch criminal Courtney Ames's rap sheet reads like an IMDb page ... now she's filed   to change her name.,"Burglar Bunch Criminal -- Everyone Knows My Name, But I'm Changing All That",link,http://tmz.me/ZaZeDti,2016-07-25 06:45:14,71,10,4,68,1,0,2,0,0
208421665712_10157399149815713,Andy Dick finally found a rehab program he can stick with ... and he's a sharing it with the world.,"Andy Dick -- So Clean and Sober, I'm a Rehab Spokesperson",link,http://tmz.me/3SKptOa,2016-07-25 06:30:08,741,72,45,668,38,6,29,0,0
208421665712_10157399117655713,Now you can own Wolfman Jack's one-of-a-kind Harley Davidson bong.,Wolfman Jack -- Smoking Auction for Crazy Harley Davidson Bong! (PHOTO GALLERY),link,http://tmz.me/DnYJ1nN,2016-07-25 06:17:45,153,17,36,140,6,4,3,0,0
208421665712_10157396387525713,Katt Williams is not having a very good Sunday morning.,Katt Williams -- Accused of Assaulting Woman ... Detained By Cops,link,http://www.tmz.com/2016/07/24/katt-williams-accused-assault-detained/,2016-07-24 15:22:36,948,281,281,706,1,111,93,25,12
