status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
9034820804_10154107088345805,Tom Brady and Gisele Bündchen are clearly enjoying their vacation ... and each other's company!,Gisele and Tom Brady Are Having an Enviable Lovefest All Over Italy: Pics,link,http://www.usmagazine.com/celebrity-news/news/gisele-bundchen-tom-brady-kiss-pack-on-pda-in-italy-w442745,2016-09-29 21:05:01,130,2,2,123,7,0,0,0,0
9034820804_10154106997140805,"""Alex is her ride-or-die,"" Grey's Anatomy star Ellen Pompeo tells Us. How far do you think she will go to support her bestie?",Ellen Pompeo Reveals What's Next for Mer and Alex on 'Grey's Anatomy',link,http://www.usmagazine.com/entertainment/news/greys-anatomys-ellen-pompeo-reveals-season-13-spoilers-w442597,2016-09-29 20:05:01,636,12,39,581,50,6,0,0,0
9034820804_10154106420765805,Us Weekly's beauty editors share the eye brighteners you'll want right now!,5 Favorite Products: Eye Brighteners,video,https://www.facebook.com/UsWeekly/videos/10154106420765805/,2016-09-29 15:22:47,199,51,17,176,20,2,1,0,0
9034820804_10154106091810805,"Kim K. attacked by prankster again, Trump defends fat-shaming comments and more — watch as Us Weekly Video's Christina Garibaldi and Entertainment Director Ian Drew discuss all.","Kim K. Gets Attacked, Trump's Defense",video,https://www.facebook.com/UsWeekly/videos/10154106091810805/,2016-09-29 12:24:18,226,133,9,173,14,9,14,5,11
9034820804_10154104358100805,Kim Kardashian West is flaunting her assets again on Instagram!,"Kim K. Reveals Boobs, Teeny Waist in Nearly NSFW Pic",link,http://www.usmagazine.com/celebrity-body/news/kim-kardashian-posts-almost-nsfw-photo-of-her-boobs-waist-w442595,2016-09-28 20:30:01,255,48,0,242,3,5,2,2,1
9034820804_10154103114260805,Who wore it best: Britney Spears or Chanel Iman? Us Weekly Video's Jackie Miranne takes it to the streets!,WWIB: Britney Spears or Chanel Iman?,video,https://www.facebook.com/UsWeekly/videos/10154103114260805/,2016-09-28 11:21:40,415,180,16,372,33,2,7,0,1
9034820804_10154102983120805,"Angelina's plot against Brad, Kanye disses Taylor again and more — watch as Us Weekly Video's Christina Garibaldi and Entertainment Director Ian Drew break it all down!",Inside The Issue: Brangelina's Battle,video,https://www.facebook.com/UsWeekly/videos/10154102983120805/,2016-09-28 10:16:37,382,261,19,298,42,9,3,6,24
9034820804_10154101467290805,Melania Trump isn't the only celeb who likes the sleek LBD she wore Monday night! Another gorgeous star has previously donned the garment.,"Melania Trump's $2,645 Debate Dress Sells Out",link,http://www.usmagazine.com/stylish/news/melania-trumps-2645-presidential-debate-dress-sells-out-w442382,2016-09-27 21:00:01,444,99,12,395,21,2,18,2,6
9034820804_10154100559215805,"Liev Schreiber and Naomi Watts call it quits, Donald J. Trump and Hillary Clinton face off, and more top stories with Us Weekly Video's Christina Garibaldi and Entertainment Director Ian Drew!",Naomi and Liev Split; Trump and Hillary Face Off,video,https://www.facebook.com/UsWeekly/videos/10154100559215805/,2016-09-27 12:33:30,275,128,20,237,19,10,5,3,1
9034820804_10154100273235805,"Melissa Joan Hart stopped by on the 20th anniversary of Sabrina, the Teenage Witch to talk health, motherhood and TV with Us!",Live With Melissa Joan Hart,video,https://www.facebook.com/UsWeekly/videos/10154100273235805/,2016-09-27 09:53:18,674,118,41,538,120,10,4,1,1
9034820804_10154098033395805,"Million Dollar Listing New York's Ryan Serhant and Emilia Bechrakis talk to Us about marriage, their upcoming season and more!",Live With MDLNY's Ryan Serhant & Emilia Bechrakis,video,https://www.facebook.com/UsWeekly/videos/10154098033395805/,2016-09-26 14:15:13,274,88,12,227,38,1,5,1,2
