status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
228735667216_10153961797787217,This was the first time we heard 16-month-old Princess Charlotte speak in public.,Prince George and Princess Charlotte in Canada play day,link,http://bbc.in/2deROZn,2016-09-29 21:00:44,871,41,26,803,66,0,1,0,1
228735667216_10153961718637217,"Planting Peace, a US-based non-profit group that seeks to ""spread peace in a hurting world"", launched the flag near Milwaukee, Wisconsin, on 17 August.",Gay pride flag launched into space 'to spread peace',link,http://bbc.in/2dhOtsV,2016-09-29 20:32:03,2273,300,166,1900,201,24,105,8,35
228735667216_10153961598972217,Scientists say the 200-million-year-old creature defies the convention on how reptiles evolved.,Strange reptile fossil puzzles scientists,link,http://bbc.in/2cEqSoE,2016-09-29 19:20:06,1054,51,82,1002,10,36,5,0,1
228735667216_10153961569812217,Secret surveillance of US citizens by police is on the rise with black neighbourhoods often the target - here is how one Californian city fought back.,Police surveillance: The US city that beat Big Brother,link,http://trib.al/dvkCQai,2016-09-29 18:59:16,495,33,77,461,7,20,3,3,1
228735667216_10153961512017217,"Every US presidential candidate has a favourite world leader...even if they can't remember their name.
We've made a few charts to help.",US election: Hillary Clinton and Donald Trump compared to world leaders,link,http://bbc.in/2dym7xH,2016-09-29 18:25:09,1117,62,131,1010,23,9,73,0,2
228735667216_10153961501612217,"After the #Hoboken train crash New Jersey Governor Chris Christie says ""We have no indication that this is anything but a tragic accident"".
http://bbc.in/2cNKFQQ",Hoboken train station crash: One dead and dozens hurt in New J...,video,https://www.facebook.com/bbcnews/videos/10153961501612217/,2016-09-29 18:20:46,468,27,91,296,7,26,2,134,3
228735667216_10153961413772217,"Mental health charities said the figures showed ""nothing has improved"".",Young women at 'highest mental health risk',link,http://bbc.in/2dxD23u,2016-09-29 17:20:05,833,97,230,623,3,25,3,174,5
228735667216_10153961315027217,It's been 3 months since the UK voted to leave the EU - what progress has been made?,Brexit: What are the options?,link,http://bbc.in/2dxG3AK,2016-09-29 16:36:37,1293,262,123,1157,9,16,71,10,30
228735667216_10153960628267217,Kids playing football in what's left of Aleppo.,,video,https://www.facebook.com/bbcnews/videos/10153960628267217/,2016-09-29 16:14:00,6062,300,1452,3303,177,48,2,2464,68
228735667216_10153961210997217,This picture is melting hearts across the world,Newly-arrived Syrian refugee saves Canadian bride's wedding day,link,http://bbc.in/2de8b8m,2016-09-29 15:50:43,43911,609,4270,37316,6128,161,67,213,31
228735667216_10153960595867217,"""When David Cameron decided to use the referendum to solve some internal problem of the Conservative party, this was the problem"" - Italian PM Matteo Renzi",,video,https://www.facebook.com/bbcnews/videos/10153960595867217/,2016-09-29 15:30:00,1353,249,182,1214,32,9,78,4,16
228735667216_10153961108092217,The simple bubble. Guaranteed to keep children entertained.,Prince George and Princess Charlotte in Canada play day,link,http://trib.al/Ieo0W9u,2016-09-29 15:06:32,15991,333,519,14351,1519,26,85,4,7
228735667216_10153960712782217,Refugees film their 19 hour journey into Europe - from underneath the train.,,video,https://www.facebook.com/bbcnews/videos/10153960712782217/,2016-09-29 14:45:00,5818,597,1450,2717,25,1119,33,1737,187
228735667216_10153961005507217,Clearly people don't want to chat to other people on the Tube!,London hasn't been kind to the man behind the 'Tube Chat' badge,link,http://bbc.in/2cYPjt0,2016-09-29 14:23:54,4182,568,525,3355,116,19,637,53,2
228735667216_10153960957767217,Divorce and separation rates vary wildly across states and regions in India.,What divorce and separation tell us about modern India,link,http://bbc.in/2d9StPT,2016-09-29 14:01:58,713,74,44,683,4,12,10,2,2
228735667216_10153960927187217,"A major commuter train has crashed into a train station platform in #Hoboken, New Jersey, killing one and injuring approximately 108 people. The BBC's Nada Tawfik was #LIVE outside of the station after New Jersey Governor Chris Christie and New York Governor Andrew Cuomo spoke to the public.",,video,https://www.facebook.com/bbcnews/videos/10153960927187217/,2016-09-29 13:51:31,4571,900,548,3013,204,161,33,1100,60
228735667216_10153960167952217,"So, Michelle Obama took on Donald J. Trump",,video,https://www.facebook.com/bbcnews/videos/10153960167952217/,2016-09-29 13:30:00,76556,2715,21457,67563,7871,257,662,14,192
