status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10155084277271509,"Boston mayor opens #DemsInPhilly remarks: ""My name is Marty Walsh, and I'm an alcoholic."" http://cnn.it/2acUIy2",Marty Walsh: I'm an alcoholic,video,https://www.facebook.com/cnn/videos/10155084277271509/,2016-07-25 18:48:00,294,111,44,237,35,5,17,0,1
5550296508_10155084272851509,"Rep. Linda Sánchez: ""Donald J. Trump says, 'Mexican immigrants are murderers and rapists.' But what about my parents, Donald?"" http://cnn.it/2acUIy2 #DemsInPhilly","But what about my parents, Donald?",video,https://www.facebook.com/cnn/videos/10155084272851509/,2016-07-25 18:31:00,1623,688,239,1279,216,11,43,6,68
5550296508_10155084248721509,"Clinton campaign chair: ""Hillary Clinton will be a president who gets results."" Live #DemsInPhilly updates: http://cnn.it/2acU7Mx",Podesta: Hillary will be a president who gets results,video,https://www.facebook.com/cnn/videos/10155084248721509/,2016-07-25 18:10:28,674,516,46,425,65,3,143,4,34
5550296508_10155084183236509,The Democratic National Committee has issued an apology to Bernie Sanders following the release of leaked emails which appear to show top DNC officials scheming against his campaign. #DNCinPhilly http://cnn.it/2acR6Mo,DNC issues official apology to Bernie Sanders,video,https://www.facebook.com/cnn/videos/10155084183236509/,2016-07-25 17:42:27,2472,1567,1108,1496,42,82,417,28,407
5550296508_10155084112221509,"""I ask you as a personal courtesy to me to not engage in any kind of protest on the floor. It's of utmost importance you explain this to your delegations."" — Bernie Sanders' text message to supporters in Philadelphia.",Bernie Sanders aims to cool tensions in Philadelphia,link,http://cnn.it/2acOmyL,2016-07-25 17:14:12,3484,1179,479,2820,310,26,246,23,59
5550296508_10155084008826509,"BREAKING: A man with a knife has killed at least 15 people and injured dozens in attack at a facility for disabled people in Sagamihara, Japan.",Report: Multiple deaths in stabbings at Japanese facility,link,http://cnn.it/2a0opic,2016-07-25 16:58:50,4298,933,2731,1229,13,224,5,1912,915
5550296508_10155083939946509,"Bernie Sanders and Elizabeth Warren are taking the stage tonight at the #DemConvention. But first, the warmup at the #CNNGrill with Brooke Baldwin and Political Director David Chalian. What's in store this evening? Ask them your questions:",,video,https://www.facebook.com/cnn/videos/10155083939946509/,2016-07-25 16:50:17,1733,1804,156,1369,188,20,40,12,105
5550296508_10155083945151509,"Protesters chanting ""No TPP"" disrupt Representative Elijah E. Cummings' speech at the Democratic National Convention in Philadelphia. http://cnn.it/2acKP3q #DemsInPhilly","""No TPP"": Protesters disrupt speech at DNC",video,https://www.facebook.com/cnn/videos/10155083945151509/,2016-07-25 16:44:59,773,480,170,552,31,9,111,8,62
5550296508_10155083866456509,"Maine Rep. Diane Russell leads #DemsInPhilly crowd in ""this is what democracy looks like"" and ""love trumps hate"" chants at Democratic convention. Watch the convention cam live: http://cnn.it/2aeWIXm",Chants at Democratic convention in Philadelphia,video,https://www.facebook.com/cnn/videos/10155083866456509/,2016-07-25 16:22:16,609,469,70,468,67,3,27,1,43
5550296508_10155083815736509,"We're inside the Democratic National Convention where delegates can be heard chanting ""Bernie!"" and ""Hillary!"" over the opening speakers. #DemsInPhilly",We're inside the Democratic National Convention,video,https://www.facebook.com/cnn/videos/10155083815736509/,2016-07-25 16:10:11,5793,6858,694,3636,887,82,223,57,908
5550296508_10155083690896509,"Chicago resident Anja Englert was driving through a thunderstorm in Chicago on Sunday night when lightning struck a telephone pole, exploding it into pieces. See more weather videos on CNN Weather — and stay safe, Chicago!",Lightning strike shatters telephone pole in Chicago,video,https://www.facebook.com/cnn/videos/10155083690896509/,2016-07-25 16:02:00,16161,1198,11395,9678,138,6240,54,52,1
5550296508_10155083691551509,A first look at Kristen Bell and Dax Shepard's $142 wedding http://cnn.it/2acBNn5,Kristen Bell shares glimpse of $142 wedding,video,https://www.facebook.com/cnn/videos/10155083691551509/,2016-07-25 15:40:36,1781,114,142,1507,261,12,2,0,0
5550296508_10155083617941509,"""Can you imagine if that was my campaign?"" Donald J. Trump comments on leaked DNC emails and Debbie Wasserman Schultz's resignation http://cnn.it/2a09C7s",Trump on DNC Chairwoman,video,https://www.facebook.com/cnn/videos/10155083617941509/,2016-07-25 15:18:45,2739,1226,365,2059,142,19,282,4,233
5550296508_10155083514561509,"We're near a fire just north of Los Angeles where more than 33,000 acres have burned and 17 structures have been destroyed. CNN's Paul Vercammen shows us what withstood the fire and what didn't make it.",We're near a huge fire just north of Los Angeles,video,https://www.facebook.com/cnn/videos/10155083514561509/,2016-07-25 15:09:56,3414,957,624,1897,88,421,22,934,52
5550296508_10155083548571509,"""I can no longer stay silent,"" writes Michael Jordan","Michael Jordan breaks his silence on social issues, donates $2 million",link,http://cnn.it/2acw0h1,2016-07-25 14:53:02,6053,325,706,5408,527,91,13,3,11
5550296508_10155083480946509,Warning: Graphic content. A woman was dragged away and mauled by a tiger after she exited a vehicle during a wildlife tour. http://cnn.it/2acC7Ca,Tiger drags woman away from wildlife tour,video,https://www.facebook.com/cnn/videos/10155083480946509/,2016-07-25 14:31:46,3624,1836,2624,1853,24,922,129,627,69
5550296508_10155083418871509,"Meet Graham, a 'human' designed to survive a car crash http://cnn.it/2acoPW6",Meet Graham: a 'human' that can survive car crashes,video,https://www.facebook.com/cnn/videos/10155083418871509/,2016-07-25 14:07:38,743,303,313,550,2,135,53,2,1
5550296508_10155083351896509,How can parents forget a child in a car? A neuroscientist explains.,How can parents forget a child in a car?,link,http://cnn.it/29ZKpd3,2016-07-25 13:43:01,656,385,247,437,4,13,2,86,114
5550296508_10155083294781509,"JUST IN: Outgoing DNC Chairwoman Debbie Wasserman Schultz will not open the #DemConvention in Philadelphia Monday night, she told the Sun Sentinel newspaper  http://cnn.it/29ZXvXX #DemsInPhilly",Wasserman Schultz won't open Democratic convention,video,https://www.facebook.com/cnn/videos/10155083294781509/,2016-07-25 13:19:33,803,680,83,574,57,7,138,3,24
5550296508_10155083205896509,"Bernie Sanders: ""We have got to elect Hillary Clinton..."" Supporters react with boos. http://cnn.it/2acgQs3",Sanders: We have got to elect Hillary Clinton,video,https://www.facebook.com/cnn/videos/10155083205896509/,2016-07-25 12:54:53,10074,4052,5455,6672,478,219,1482,281,942
5550296508_10155082983356509,"CNN's Boris Sanchez takes your questions live from outside the Fort Myers, FL nightclub where two teenagers were killed and several others were wounded early this morning",,video,https://www.facebook.com/cnn/videos/10155082983356509/,2016-07-25 12:34:34,1811,826,217,1208,81,41,14,339,128
5550296508_10155083122136509,President Obama had strong words for Donald J. Trump's rhetoric over Muslims in the wake of terrorist attacks.,Obama: Trump 'is ultimately helping do ISIL's work for us',link,http://cnn.it/2aceF7S,2016-07-25 12:25:53,3416,1523,354,2830,71,27,245,25,218
5550296508_10155083049726509,We're talking immigration and the Latino vote at the Democratic National Convention. Hillary Clinton Campaign National Latino Vote Director Lorella Praeli is answering your questions with CNN en Espanol's Maria Santana. #LatinoCNN #DemsinPhilly,Chat about immigration and Latino vote,video,https://www.facebook.com/cnn/videos/10155083049726509/,2016-07-25 12:08:04,2125,2283,194,1696,190,16,34,13,176
5550296508_10155083017036509,Could medical marijuana treat Alzheimer's patients?,"Medical marijuana has potential as Alzheimer's treatment, study says",link,http://cnn.it/29ZHOzP,2016-07-25 11:44:01,2499,250,658,2242,152,89,14,0,2
5550296508_10155082950331509,A first look at Kristen Bell's $142 wedding to Dax Shepard,Kristen Bell releases first ever photos from $142 wedding to Dax Shepard,link,http://cnn.it/2ac3mg6,2016-07-25 11:20:03,9685,544,701,8181,1428,55,18,4,1
