status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
89033370735_10153749677605736,"A new episode of E! News' ""The Rundown"" on Snapchat is here! You should probbbably go watch it: http://eonli.ne/2dhEMe8",Timeline Photos,photo,https://www.facebook.com/enews/photos/a.92505200735.93718.89033370735/10153749677605736/?type=3,2016-09-29 21:11:01,6,0,0,6,0,0,0,0,0
89033370735_10153749667285736,"It may not mean nothing to y'all, but understand Lil Wayne wasn't thrilled when Drake slept with one of his girlfriends.",Lil Wayne Reveals Drake Slept With One of His Girlfriends in Memoir,link,http://eonli.ne/2dvuLxg,2016-09-29 21:02:37,80,10,2,67,0,8,5,0,0
89033370735_10153749647230736,,E!'s TV Scoop,link,http://www.eonline.com/news/798854/grey-s-anatomy-s-alex-situation-gets-even-worse-after-a-day-in-court,2016-09-29 20:44:51,131,17,0,94,2,1,0,30,4
89033370735_10153749621930736,"If Beyoncé's new Ivy Park promo doesn't get you to the gym, we don't know what will.",Beyoncé Testing Her Limits Will Inspire You to Get to the Gym,link,http://eonli.ne/2d9hkjo,2016-09-29 20:26:47,219,19,10,206,11,3,0,0,0
89033370735_10153749539010736,"If Prince George and Princess Charlotte playing with animals isn't the most royally adorable thing you've seen all day, you're lying.",Princess Charlotte & Prince George Are the Cutest in Canada,video,https://www.facebook.com/enews/videos/10153749539010736/,2016-09-29 20:15:00,503,18,13,446,55,0,2,0,0
89033370735_10153749540085736,Amber Rose is giving Julianne Hough a zero for her Dancing with the Stars comments.,Amber Rose Says She Felt Body Shamed by Julianne Hough on DWTS,link,http://eonli.ne/2dvna1F,2016-09-29 19:45:04,937,157,45,778,13,76,59,4,7
89033370735_10153749439355736,This is not an illusion: Lady Gaga is officially your Super Bowl halftime show performer!,Lady Gaga Announces She's Performing at 2017 Super Bowl Halftime Show,link,http://eonli.ne/2deW0IG,2016-09-29 19:08:05,14515,478,1457,12111,2094,163,27,37,87
89033370735_10153749404340736,The Lion King and Friday Night Lights just need Another 15 Minutes.,Another 15 Minutes For The Lion King & Friday Night Lights,video,https://www.facebook.com/enews/videos/10153749404340736/,2016-09-29 19:00:06,301,142,14,242,50,3,4,0,2
89033370735_10153749396885736,Can exes still be friends? We investigate (so you don't have to.),Looking Back at 2015's Summer of Splits: Where Are They Now?,link,http://eonli.ne/2dhJVD5,2016-09-29 18:40:12,68,2,5,61,0,1,0,6,0
89033370735_10153749343515736,From juggling the kids with Jon to rejoining the dating pool— Kate Plus 8 is just brimming with potential for great TV.,4 Things We Hope to See on the New Season Kate Plus 8,link,http://eonli.ne/2dvnkS4,2016-09-29 18:05:01,410,31,5,392,13,3,2,0,0
89033370735_10153749309510736,Brad Pitt & Angelina Jolie's six kids are reportedly living with their mom in a rented Malibu home & avoiding the paparazzi post-divorce news.,How Brad & Angelina's Kids Are Doing Amid Their Parents' Divorce,link,http://eonli.ne/2deJGIs,2016-09-29 17:35:25,152,9,3,139,1,0,0,12,0
89033370735_10153749265835736,What snaggletooth? Caroline Krafft is a regulation hottie IRL.,This Mathlete From Mean Girls Looks Totally Different Now,link,http://eonli.ne/2dyebwi,2016-09-29 17:06:34,52,8,4,50,0,2,0,0,0
89033370735_10153749128550736,"Love at first write? Making A Murderer's Steven Avery opens up about his plans to wed his new fiancée Lynn Hartman: ""I want to wait until I'm out [to get married] and I don't think that'll be too long; right around the corner.""","Steven Avery and New Fiancée Talk Love, Wedding & Conviction",link,http://eonli.ne/2duHFr1,2016-09-29 16:11:32,101,54,12,80,7,10,3,0,1
89033370735_10153749060575736,"Loosen up your buttons, babe— Nicole Scherzinger has had it with those Calvin Harris cheating rumors.",Nicole Scherzinger Slams ''Ridiculous'' Calvin Harris Cheating Rumors,link,http://eonli.ne/2daAxoj,2016-09-29 15:34:22,169,3,6,165,1,1,2,0,0
89033370735_10153748984935736,"Congrats, Grandma Kim! It's a boy for her daughter, Brooke Wiederhorn.",Kim Richards Is a Grandma!,link,http://eonli.ne/2dhwRgR,2016-09-29 14:58:24,247,3,7,239,8,0,0,0,0
89033370735_10153748919915736,"""Hey what's up, it's been awhile...."" - Zayn's chin, probably.",Zayn Malik Just Shaved His Beard & Fans Can't Hang,link,http://eonli.ne/2dxUQvp,2016-09-29 14:31:16,1341,33,21,1175,133,21,7,5,0
89033370735_10153748844045736,"Here's Princess Charlotte is playing with bunnies, because feelings want to be felt. ❤️",Princess Charlotte & Prince George Are the Cutest in Canada,link,http://eonli.ne/2daF4H4,2016-09-29 13:53:09,3379,55,79,2995,378,5,2,0,0
89033370735_10153748796875736,"After years of Italian lawyers and the media telling her story, it's Amanda Knox's turn.",Amanda Knox: I'm Redeveloping My Relationship With Freedom,link,http://eonli.ne/2dtZzi4,2016-09-29 13:18:53,285,26,30,269,8,7,0,0,1
89033370735_10153748720440736,Miley Cyrus and Idina Menzel have at least one thing in common.,Miley Cyrus and Idina Menzel Joke About Being Servants to Disney,link,http://eonli.ne/2dup2U6,2016-09-29 12:36:49,919,11,29,867,16,2,33,0,1
89033370735_10153748697830736,,E! Style Collective,link,http://eonli.ne/2dcPaFi,2016-09-29 12:17:43,47,2,0,47,0,0,0,0,0
89033370735_10153748678360736,Praise to Rev Run! Angela Simmons has welcomed an adorable baby boy into the world. ❤️🙏,Angela Simmons Gives Birth to First Child,link,http://eonli.ne/2cYU8Tb,2016-09-29 12:05:00,7290,46,82,6790,464,35,1,0,0
89033370735_10153748574345736,"Kim Kardashian West was attacked in Paris but fights back, reports say Taylor Swift and Calvin Harris have made up and Zayn speaks out against fame.",LFE: Taylor Swift and Calvin Harris Have Made Up,video,https://www.facebook.com/enews/videos/10153748574345736/,2016-09-29 11:30:00,1715,1140,90,984,375,80,155,25,96
89033370735_10153748573205736,"Everything. Comes. Back. To. YOU. Singing this exact song, Niall Horan. ❤️🎶",Niall Horan Drops First Solo Single This Town,link,http://eonli.ne/2dxrNbl,2016-09-29 11:20:12,1611,97,109,1380,222,8,0,1,0
89033370735_10153748526985736,"Future husband, please take note.",Truly Unique Celebrity Engagement Rings,link,http://eonli.ne/2d9WXWv,2016-09-29 10:55:38,126,2,3,114,8,2,1,1,0
89033370735_10153748465575736,"""I try to be the best version of myself and to have faith that they're watching me as carefully when I do something right as they do when I roll through a stop sign.""",Jennifer Garner Gives an Update on Her Family,link,http://eonli.ne/2cYEzL4,2016-09-29 10:19:16,799,6,6,746,49,0,4,0,0
89033370735_10153748420985736,Alec Baldwin takes on Donald J. Trump for Saturday Night Live? Now this we've gotta see.,Alec Baldwin to Take On Donald Trump,video,https://www.facebook.com/enews/videos/10153748420985736/,2016-09-29 10:04:39,1069,49,84,852,34,4,178,0,1
89033370735_10153748360405736,There's a reason Justin Theroux prefers to wear jeans.,"Justin Theroux ""Embarrassed"" Over Infamous Sweatpants Photos",link,http://eonli.ne/2dcpfxo,2016-09-29 09:18:06,442,46,22,402,17,5,18,0,0
89033370735_10153748302500736,No more tears for Ozzy Osbourne and Sharon Osbourne.,"Sharon Osbourne ""Adores"" Ozzy Osbourne After Brief Split: ""I'm in a Really Good Place""",link,http://eonli.ne/2dwPDUl,2016-09-29 08:40:11,335,11,4,305,26,1,3,0,0
