status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
52150999700_10154655512789701,Green Day changed a lyric during a concert to target the presidential candidate! 😱,Green Day Blasts Donald Trump with 'American Idiot' Anthem,link,http://www.ew.com/article/2016/09/29/green-day-blasts-donald-trump-america-idiot,2016-09-29 20:55:09,442,16,68,334,51,1,55,0,2
52150999700_10154655452739701,The drama is SERIOUSLY starting to heat up on Secrets and Lies! 🔥,Detective Cornell and Eric Square Off in Exclusive 'Secrets and Lies' Clip,link,http://www.ew.com/article/2016/09/29/secrets-and-lies-cornell-eric-questions-exclusive,2016-09-29 20:29:00,43,1,4,43,0,0,0,0,0
52150999700_10154655441519701,Alex is headed in a new direction on Grey's Anatomy! 😱,'Grey's Anatomy': Justin Chambers on Alex's New Move,link,http://www.ew.com/article/2016/09/29/greys-anatomy-justin-chambers-alex-clinic,2016-09-29 20:04:41,406,12,42,348,5,20,0,31,2
52150999700_10154655265334701,Nanny not included! 😂,Have $4.45 Million? The 'Mrs. Doubtfire' House in San Francisco Can Be Yours,link,http://www.ew.com/article/2016/09/29/mrs-doubtfire-house-for-sale,2016-09-29 19:39:01,148,7,52,135,3,8,2,0,0
52150999700_10154655347499701,It's official! Lady Gaga will take the Super Bowl stage this February! 😱,Lady Gaga Is Headlining the Super Bowl Halftime Show,link,http://www.ew.com/article/2016/09/29/lady-gaga-confirmed-super-bowl-halftime-show,2016-09-29 19:14:05,7042,202,1488,5805,1064,93,9,10,62
52150999700_10154654935164701,Designated Survivor & Speechless are here to stay! 📺,ABC Orders Full Seasons of 'Designated Survivor' and 'Speechless',link,http://www.ew.com/article/2016/09/29/abc-designated-survivor-speechless-full-seasons,2016-09-29 18:52:00,2176,47,356,1938,226,5,6,0,1
52150999700_10154655261809701,Another familiar face will be BACK on Arrow! 😱,'Arrow': Susanna Thompson Returning for 100th Episode,link,http://www.ew.com/article/2016/09/29/arrow-susanna-thompson-100th-episode,2016-09-29 18:27:00,1247,32,134,1084,91,70,2,0,0
52150999700_10154654763069701,How to Get Away With Murder star Charlie Weber breaks down Frank's shocking decision and what's coming next. 😱 🔥,'HTGAWM' actor Charlie Weber talks Frank's shocking decision,video,https://www.facebook.com/entertainmentweekly/videos/10154654763069701/,2016-09-29 18:12:20,256,27,15,218,36,1,1,0,0
52150999700_10154655187539701,"The Portland bookstore's statement was titled ""F— Portlandia."" 😬",'Portlandia' Slammed by Feminist Bookstore Used on the Show,link,http://www.ew.com/article/2016/09/29/portlandia-bookstore,2016-09-29 17:57:02,90,13,28,69,2,5,12,2,0
52150999700_10154654221524701,The Frozen star is ALL for Elsa having a girlfriend in the sequel. ❤️,Idina Menzel on 'Frozen 2' and Gay Elsa Campaign: 'I Think It's a Wonderful Idea',link,http://www.ew.com/article/2016/09/29/idina-menzel-gay-elsa-frozen-2,2016-09-29 17:33:00,872,61,94,687,101,5,5,4,70
