status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
18468761129_10154090086846130,Things are getting LOUD in Philadelphia.,The Clinton Campaign Wanted A Unity Fest. Some Sanders Supporters Had Other Ideas.,link,http://huff.to/2aGlhcQ,2016-07-25 18:00:09,463,290,100,353,26,5,8,11,60
18468761129_10154090064471130,"This is how Sree Sreenivasan coped after unexpectedly losing his dream job at the The Metropolitan Museum of Art, New York.",What To Do If You Lose Your Dream Job | HuffPost Rise,video,https://www.facebook.com/HuffingtonPost/videos/10154090064471130/,2016-07-25 17:45:43,231,5,45,205,22,4,0,0,0
18468761129_10154090027416130,,HuffPost Politics,video,https://www.facebook.com/HuffPostPolitics/videos/10154152806212911/,2016-07-25 17:23:35,179,19,0,176,2,1,0,0,0
18468761129_10154090014481130,"Take note, Vanity Fair.",Margot Robbie Agrees Her Vanity Fair Profile Was 'Really Weird',link,http://huff.to/2a04uzV,2016-07-25 17:15:11,115,9,3,110,0,3,2,0,0
18468761129_10154089973786130,DEVELOPING...,"Knife Attack In Japan Leave At Least 15 Dead, Local Media Report",link,http://huff.to/2a6TcQe,2016-07-25 16:50:44,694,63,484,139,2,101,1,419,32
18468761129_10154089911686130,"""There is no redemption in being one of the 'good Nazis.'""",Why I'm Resigning My Position As A Republican Committeeman,link,http://huff.to/2alvxZh,2016-07-25 16:15:06,7411,194,3296,6490,446,393,46,19,18
18468761129_304970616513759,"When life gives you stage 4 cancer, make each treatment in to a costume party with friends.",Woman Makes Chemo Less Crappy | HuffPost NowThis,video,https://www.facebook.com/HuffingtonPost/videos/304970616513759/,2016-07-25 15:45:00,3499,59,469,2879,569,42,8,1,1
18468761129_10154089848516130,,HuffPost Queer Voices,video,https://www.facebook.com/HuffPostQueerVoices/videos/1195019537223151/,2016-07-25 15:41:32,132,9,0,119,10,0,0,1,2
18468761129_10154089823076130,"""There is not a single good reason to put so many people in danger of identity theft, harassment and worse,"" contributor Zeynep Tufekci writes.","Wikileaks Put Women in Turkey in Danger, for No Reason",link,http://huff.to/29VowQV,2016-07-25 15:30:55,295,109,73,133,3,20,5,11,123
18468761129_10154089744121130,Soooooo modern! So new!! 😱,Mike Pence's Bizarre Beliefs About Condoms Are Not Based In Reality,link,http://huff.to/2a4WDTo,2016-07-25 14:45:16,1076,249,278,485,1,227,278,20,65
18468761129_10154089691436130,,HuffPost Politics,video,https://www.facebook.com/HuffPostPolitics/videos/10154152428752911/,2016-07-25 14:12:45,436,67,0,395,26,3,11,0,1
18468761129_10154089672801130,"Usher, Sheryl Crow, Josh Groban and Cyndi Lauper were among the singers and musicians.",Music Stars Join John Oliver To Demand Politicians Stop Using Their Songs,link,http://huff.to/2a6uxv0,2016-07-25 14:01:45,3096,52,309,2684,207,5,200,0,0
18468761129_10154089603516130,"This is the most lowkey wedding ever, Kristen Bell and Dax Shepard. 😂",Kristen Bell Shares First Photos From $142 Wedding To Dax Shepard,link,http://huff.to/2a6mKxw,2016-07-25 13:30:10,5216,185,215,4602,595,12,4,3,0
18468761129_10154089544656130,"They told you so! And told you so, and told you so and ...",Meat Eaters Should Have Been Listening To Vegetarians All Along,link,http://huff.to/29ZR33a,2016-07-25 13:00:57,3541,432,2346,2792,68,52,31,448,150
18468761129_10154089469616130,"""I can no longer stay silent."" -- Michael Jordan",Michael Jordan Breaks His Silence On Police Brutality,link,http://huff.to/29ZQN3Y,2016-07-25 12:20:12,6081,190,1824,5421,484,122,7,37,11
18468761129_10154089386226130,This is devastating.,Swathes Of The Great Barrier Reef Suffers 'Complete Ecosystem Collapse',link,http://huff.to/2a4HUbf,2016-07-25 12:00:21,1805,68,774,354,1,55,1,1170,225
18468761129_10154089376046130,,HuffPost Politics,video,https://www.facebook.com/HuffPostPolitics/videos/10154152065427911/,2016-07-25 11:54:18,450,117,0,381,27,10,17,4,11
18468761129_10154089361701130,"Hi Tahoe don't mean to be too forward but you're cute af. 🐻
via The Dodo",Orphaned Baby Bear Loves Playing On The Sofa | The Dodo,video,https://www.facebook.com/HuffingtonPost/videos/10154089361701130/,2016-07-25 11:46:45,10786,973,2649,8762,1785,15,19,204,3
18468761129_10154089294411130,,HuffPost Rise,video,https://www.facebook.com/HuffPostRise/videos/827948530637912/,2016-07-25 11:16:36,271,51,0,253,13,1,3,0,1
18468761129_10154089004991130,"Philly rapper Freeway tells us why Philadelphia is one of the best cities in America.
with RYOT",This is Philadelphia | HuffPost RYOT,video,https://www.facebook.com/HuffingtonPost/videos/10154089004991130/,2016-07-25 11:15:00,76,17,29,67,9,0,0,0,0
18468761129_10154089266501130,"YES, Wonder Woman. 💪",Wonder Woman Needs No Man In First Comic-Con Trailer,link,http://huff.to/2aFDHdZ,2016-07-25 11:00:43,3581,126,333,3135,420,8,14,1,3
18468761129_10154089256726130,Felicia Pendleton sits down to discuss gun violence after her son was shot to death in the streets of Philadelphia earlier this year.,HuffPost Politics,video,https://www.facebook.com/HuffPostPolitics/videos/10154152005722911/,2016-07-25 10:57:45,361,28,0,258,1,2,1,87,12
18468761129_304810963196391,"Tamir Rice was shot and killed on November 22, 2014. The Republican National Convention last week was held only a short drive away from where Tamir lost his life.
with RYOT",Tamir Rice's Neighborhood,video,https://www.facebook.com/HuffingtonPost/videos/304810963196391/,2016-07-25 10:45:00,167,32,19,76,2,1,0,71,17
