status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5281959998_10150915012919999,The latest on the New Jersey Transit train crash.,New York Tonight: Hoboken Train Crash and Wet Weather,link,http://www.nytimes.com/2016/09/29/nyregion/new-york-tonight-hoboken-train-commute-weather-rain.html?smid=fb-nytimes&smtyp=cur,2016-09-29 20:55:00,81,3,14,54,2,3,0,22,0
5281959998_10150915066114999,The paths to victory available for Hillary Clinton and Donald J. Trump. (via The Upshot),"The 1,024 Ways Clinton or Trump Can Win the Election",link,http://nyti.ms/2dvpgyo,2016-09-29 20:25:00,171,26,44,153,10,6,0,1,1
5281959998_10150915071489999,Saudis see the new 9/11 victims law as a wake up call. Others see a sinister conspiracy.,"Angered by 9/11 Victims Law, Saudis Rethink U.S. Alliance",link,http://www.nytimes.com/2016/09/30/world/middleeast/chagrined-by-9-11-victims-law-saudis-rethink-us-alliance.html?smid=fb-nytimes&smtyp=cur,2016-09-29 19:55:00,538,201,249,361,7,63,35,45,27
5281959998_10150915048219999,Donald J. Trump's remark fueled a conversation in a country where two-thirds of the population is overweight.,A 400-Pound Hacker? Trump Comment Ignites Fat-Shaming Debate,link,http://nyti.ms/2dvkK30,2016-09-29 19:31:00,761,294,86,518,2,15,70,14,142
5281959998_10150915058794999,"The Rosetta Mission comes to an end on Friday. We've learned so much about comets and our solar system from this spacecraft, and there's still so much more to learn: http://nyti.ms/2dvl4Pp",The New York Times - Science,video,https://www.facebook.com/nytimesscience/videos/1162504323829592/,2016-09-29 19:02:00,91,6,0,79,0,5,0,7,0
5281959998_10150914876984999,"A growing number of children have high blood pressure, largely as a consequence of their obesity, and it may impair their cognitive skills.",How High Blood Pressure May Hurt Children's Brains,link,http://nyti.ms/2d94eCP,2016-09-29 18:25:00,106,11,44,62,0,12,0,30,2
5281959998_10150915011639999,The footage of the last moments of 6-year-old Jeremy Mardis's life shows deputies firing a barrage of bullets at his father's S.U.V.,"Video of Fatal Police Shooting of Louisiana Boy, 6, Is Released",link,http://www.nytimes.com/2016/09/30/us/police-video-louisiana-shooting.html?smid=fb-nytimes&smtyp=cur,2016-09-29 17:55:00,689,130,212,180,3,17,2,213,274
5281959998_10150915009329999,"Brian Tyree Henry is an actor known for his role in the original production of The Book of Mormon on Broadway and FX's new show ""Atlanta"" He is with us to discuss his journey from stage to screen. Comment with your questions.",The New York Times - Theater,video,https://www.facebook.com/nytimestheater/videos/1301167386562994/,2016-09-29 17:33:37,292,28,0,271,14,2,5,0,0
5281959998_10150914987339999,"""I led the company with courage,"" Wells Fargo's chief John Stumpf said.","Wells Fargo Chief Blames Employees, Not Company Culture, for Scandal",link,http://www.nytimes.com/2016/09/30/business/dealbook/wells-fargo-ceo-john-stumpf-house-hearing.html?smid=fb-nytimes&smtyp=cur,2016-09-29 17:25:00,1511,498,507,346,5,60,249,14,837
5281959998_10150914980819999,Ohio is suddenly fading in importance this year.,"Ohio, Long a Bellwether, Is Fading on the Electoral Map",link,http://www.nytimes.com/2016/09/30/us/politics/ohio-campaign-trump-clinton.html?smid=fb-nytimes&smtyp=cur,2016-09-29 16:55:00,409,94,92,334,13,14,25,17,6
5281959998_10150914933344999,"Searches for ""register to vote"" have surged in Hispanic areas. Alicia Machado could have something to do with it.",Google Searches for Voter Registration Have Surged in Hispanic Areas,link,http://nyti.ms/2dpCyY6,2016-09-29 16:25:00,5042,140,228,4451,521,14,54,0,2
5281959998_10150913726134999,A master's in computer science from Georgia Tech costs less than one-eighth as much as its most expensive rival — if you learn online.,"An Online Education Breakthrough? A Master's Degree for a Mere $7,000",link,http://nyti.ms/2drSCJy,2016-09-29 15:55:00,732,58,288,657,37,36,0,0,2
5281959998_10150914944594999,Learn how to transform your makeup look from professional to party-ready in under 10 minutes. YouTube makeup artists Sam & Nic of Pixiwoo are here to share tips. Comment with your questions and we'll ask them.,The New York Times Styles,video,https://www.facebook.com/nytimesstyles/videos/1253339818038888/,2016-09-29 15:42:10,374,48,0,339,26,2,5,1,1
5281959998_10150914818474999,"Reykjavik's city council switched off street lamps to help provide ideal viewing conditions for the northern lights on Wednesday night.

Here's what people saw.",Reykjavik Briefly Swaps Its City Lights for Northern Ones,link,http://www.nytimes.com/2016/09/30/world/europe/iceland-northern-lights-aurora.html,2016-09-29 15:28:12,12386,677,1650,10564,1292,522,8,2,0
5281959998_10150914906074999,Should destroying an ancient statue be considered a war crime? The world's highest criminal court says yes.,International Court Takes a Stand With Ruling on Destruction of Antiquities,link,http://www.nytimes.com/2016/09/30/world/africa/icc-hague-court-antiquties.html?smid=fb-nytimes&smtyp=cur,2016-09-29 15:00:43,1598,78,303,1481,74,12,3,7,21
5281959998_10150914869289999,"""My name is Brian Anderson, I'm a professional skateboarder, and we are here to talk about the fact that I am gay,"" he said in a video posted on VICE Sports.","Brian Anderson, Skateboarding Star, Comes Out as Gay",link,http://nyti.ms/2de89xo,2016-09-29 14:25:00,2037,153,117,1827,183,8,17,1,1
5281959998_10150914828204999,"1971: Fear not! That's a Disney hippo.

Photo: George Tames/The New York Times (via instagram.com/nytarchives)","Instagram photo by New York Times Archives • Sep 29, 2016 at 12:29pm UTC",link,https://www.instagram.com/p/BK8JqzjhtI8/?taken-by=nytarchives,2016-09-29 14:10:00,143,6,10,135,8,0,0,0,0
5281959998_10150914890159999,The clips that the 3 networks chose to highlight left viewers with different impressions of those moments.,"Which Debate Clips Got Replayed the Most on CNN, Fox News and MSNBC",link,http://nyti.ms/2dd9eHA,2016-09-29 13:54:31,201,29,65,182,4,11,3,1,0
5281959998_10150914867954999,Train number 1614 on the Pascack Valley line failed to stop as it arrived at Hoboken Terminal.,What Happened in the New Jersey Transit Train Crash,link,http://nyti.ms/2dnVb25,2016-09-29 13:25:00,201,17,48,110,2,23,0,65,1
5281959998_10150914874994999,Jarvis Bracy was charged with a felony for misspelling his name to a police officer. He was then offered the chance to buy his way out of trouble — but he couldn't afford it. The New York Times reporter Shaila Dewan is talking with Jarvis now and taking your questions from the comments.,Video From The New York Times,video,https://www.facebook.com/nytvideo/videos/1761029374114577/,2016-09-29 13:21:37,705,97,0,392,5,77,5,30,196
5281959998_10150914859489999,"""Systemic racism"" and ""implicit bias"" were 2 of the phrases Hillary Clinton used to deliver a subtle and powerful message to black voters.","At Debate, Hillary Clinton Spoke to Black Voters Using Language of a Movement",link,http://nyti.ms/2cEvJ90,2016-09-29 12:54:29,750,108,54,678,59,1,8,0,4
5281959998_10150914785324999,"A New York photographer has been documenting the denizens of a Bronx bike park, where he found a welcoming community of BMX riders.

See more photos: http://nyti.ms/2cYIVBZ

Photos: Elias Williams",Photos from The New York Times's post,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150914784374999/?type=3,2016-09-29 12:40:00,379,9,31,360,18,0,1,0,0
5281959998_10150914513939999,"Rihanna described the look of her Fenty for PUMA collection as Marie Antoinette ""if she was going to the gym.""",Rihanna's Fenty Line Debuts in Paris and Receives a Pop Star Welcome,link,http://nyti.ms/2dBSojK,2016-09-29 12:28:21,87,10,7,78,3,0,6,0,0
5281959998_10150914801619999,"Video shot by witnesses shows the damage moments after a commuter train crashed into the station at Hoboken, New Jersey, during the Thursday morning rush.",Train Crashes Into New Jersey Station,video,https://www.facebook.com/nytimes/videos/10150914801619999/,2016-09-29 12:11:34,465,37,140,160,0,78,0,227,0
5281959998_10150914828279999,Help us solve The New York Times crossword puzzle using our web game. Wordplay columnist Deb Amlen is here with hints. Put your guesses in the comments and share this with your friends.,The Crossword,video,https://www.facebook.com/nytimes/videos/10150914828279999/,2016-09-29 12:02:42,963,2097,169,830,77,13,33,4,6
5281959998_10150914825129999,"First came the reports of creepy clowns in multiple states. Now come the arrests, for pranks and hoaxes.",Creepy Clown Hoaxes Lead to 12 Arrests in Multiple States,link,http://nyti.ms/2dxwwJT,2016-09-29 11:54:29,248,73,184,192,5,21,26,2,2
5281959998_10150914806404999,"We are live in Riyadh, Saudi Arabia, at the kingdom's largest fair. It's exclusively for women to talk about the economic and social changes that have led large numbers of young Saudi women to enter the job market. The New York Times reporter Ben Hubbard is talking with Khalid W AlKhudair of Glowork, a Riyadh-based women's employment agency. Ask your questions in the comments.",Video From The New York Times,video,https://www.facebook.com/nytvideo/videos/1760989960785185/,2016-09-29 11:27:48,1105,131,0,1002,57,27,15,2,2
5281959998_10150914780904999,"""Both are proven liars,"" Colin Kaepernick said of Hillary Clinton and Donald J. Trump, ""and it almost seems like they're trying to debate who's less racist.""",Colin Kaepernick Says Presidential Candidates Were Trying to 'Debate Who's Less Racist',link,http://nyti.ms/2dH4KtM,2016-09-29 11:25:00,1443,560,231,1168,71,14,131,10,49
5281959998_10150914766779999,The conservative media used to be a megaphone for the Republican Party. Then Donald J. Trump made things complicated.,How Donald Trump Set Off a Civil War Within the Right-Wing Media,link,http://nyti.ms/2dCgdbf,2016-09-29 10:55:00,415,94,63,306,4,12,89,1,3
5281959998_10150914725469999,"Most teens who try alcohol, cocaine, opioids or meth don't become addicted. A new antidrug program focuses on what's different about the minority who do.",The 4 Traits That Put Kids at Risk for Addiction,link,http://nyti.ms/2dnrKxd,2016-09-29 10:25:00,2450,120,2219,2283,63,83,0,18,3
5281959998_10150914622249999,He helped the Boston Red Sox end an 86-year World Series title drought. Expectations are high he can duplicate the feat with the Chicago Cubs.,Theo Epstein Is Making Lightning Strike Twice,link,http://nyti.ms/2dC8N7T,2016-09-29 09:55:00,172,16,44,156,9,5,2,0,0
5281959998_10150914668339999,"""Even if Trump acts like a middle-school boy, his policies would be those of a dangerous adult"" Nicholas Kristof writes in The New York Times Opinion Section.",That Seventh-Grade Bully Is Running for President,link,http://nyti.ms/2du2eno,2016-09-29 09:26:51,2622,188,502,2182,24,26,36,128,226
5281959998_10150914491799999,"A town in Iceland was hit by flooding and mudslides. The culprit, locals knew, had been heavy rainfall. Or elves.","After Mudslides and Flooding in Iceland, Elves Are Suspects",link,http://nyti.ms/2dguKK8,2016-09-29 08:55:00,433,65,223,343,23,5,62,0,0
5281959998_10150914640949999,"The Times' Lizzie Paton brings us the Balmain show, live from her seat at Paris Fashion Week.",The New York Times Styles,video,https://www.facebook.com/nytimesstyles/videos/1253023128070557/,2016-09-29 08:40:07,408,39,0,381,20,3,4,0,0
5281959998_10150914636279999,"Breaking News: A commuter train crash in Hoboken, N.J., killed at least one person and injured dozens, a senior transportation official says.",Hoboken Train Crash Leaves at Least One Dead and Dozens Injured,link,http://nyti.ms/2dCj3wS,2016-09-29 08:30:55,888,121,908,258,3,134,3,486,4
5281959998_10150914550724999,The death of the soccer star Johan Cruyff pushed his son to drive himself to distraction. But his father's fans would not let him.,Lingering on the Edge of His Father's Long Shadow,link,http://nyti.ms/2dc66vw,2016-09-29 08:25:01,128,11,14,118,7,2,0,1,0
