status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
95926963131_10154853192073132,It was the truly international murder case that captivated the world.,A Brief Guide to the Amanda Knox Legal Saga Ahead of the New Netflix Documentary,link,http://peoplem.ag/V7mHFmB,2016-09-29 20:48:07,80,13,9,77,2,0,0,0,1
95926963131_10154853125373132,Janet Jackson cannot wait to be a mom.,"Janet Jackson Is 'Super Excited' About Expecting Her First Child at 50, Source Says",link,http://peoplem.ag/B8LIUCf,2016-09-29 20:12:04,792,37,26,695,62,32,3,0,0
95926963131_10154853064138132,The mother and wife was standing on the platform of the station when the train crashed through a barrier.,Fatal Victim of Hoboken Train Crash Identified as 34-Year-Old Married Mother Fabiola Bittar de Kroon,link,http://peoplem.ag/heoAw0e,2016-09-29 19:36:05,2940,165,120,487,29,17,1,2400,6
95926963131_10154853000558132,A heavy-hitting crisis manager for Angelina Jolie's team? It's handled.,Angelina Jolie's Divorce Team Is Working with D.C. Fixer Who Inspired Scandal's Olivia Pope,link,http://peoplem.ag/ALi0AI5,2016-09-29 19:00:20,341,78,21,275,5,36,16,5,4
95926963131_10154852915178132,"An Indiana woman allegedly kept her disabled husband prisoner, starving him and withholding his medication.","Indiana Woman Allegedly Kept Ailing Husband in Squalid Bedroom For Years, Withheld Medication",link,http://peoplem.ag/O5ahPMx,2016-09-29 18:24:06,1757,146,134,302,3,90,1,362,999
95926963131_10154852848058132,Princess Charlotte has pulled off the cutest royal re-wear yet.,You'll Never Guess Whose Sweater Princess Charlotte Is Wearing,link,http://peoplem.ag/7yiqrfL,2016-09-29 17:48:04,2096,35,34,1905,182,7,1,1,1
95926963131_10154852169053132,Bourbon peanut butter cup fondue is the last-minute dessert you'll always have up your sleeve. http://peoplem.ag/WFTVIOP,Take 5: Five-Minute Bourbon Peanut Butter Cup Fondue,video,https://www.facebook.com/peoplemag/videos/10154852169053132/,2016-09-29 17:12:00,166,9,83,158,7,1,0,0,0
95926963131_10154852579418132,Pallbearers wearing Miami Marlins star José Fernández's number 16 jersey carried his casket into the private funeral today.,José Fernández's Loved Ones Reveal His Dreams for the Unborn Daughter He Named Penelope at His Funeral,link,http://peoplem.ag/PlPVvaA,2016-09-29 16:36:06,9527,71,381,5360,544,16,5,3596,6
95926963131_10154852046888132,"Horror in Hoboken: The accident took place at 8:45 a.m., when a Pascack Valley line train struck the Hoboken Terminal building on track 5. http://peoplem.ag/DxFk57X",Horror in Hoboken: At Least 1 Dead and Over 100 Believed Injur...,video,https://www.facebook.com/peoplemag/videos/10154852046888132/,2016-09-29 16:00:00,229,9,21,94,0,27,0,107,1
95926963131_10154852320583132,"Out of Tim Burton's 36 directing credits, Samuel L. Jackson is seemingly the only African-American actor cast in a notable role.","Tim Burton Defends Lack of Diversity in Miss Peregrine, Says Film Didn't Need More Minority Characters",link,http://peoplem.ag/6n5w7Au,2016-09-29 15:24:05,597,238,50,497,7,44,8,3,38
95926963131_10154852163533132,Prince George and Princess Charlotte are having the best time in Canada! http://peoplem.ag/KAc6HuB,Prince George and Princess Charlotte Have The Best Time in Can...,video,https://www.facebook.com/peoplemag/videos/10154852163533132/,2016-09-29 14:51:43,7744,143,337,6707,993,23,20,0,2
95926963131_10154852143668132,Graphic video footage from the fatal police shooting of 6-year-old Jeremy Mardis was shown in a Louisiana court.,"Graphic Video Captures Moment 6-Year-Old Boy Is Killed by Police As Dad Says, 'My Little Boy'",link,http://peoplem.ag/3LvP2FH,2016-09-29 14:28:58,4627,314,1028,820,8,69,2,2330,1399
95926963131_10154852060743132,Prince George and Princess Charlotte were the center of attention at the special reception.,Princess Charlotte Speaks Her First Public Word at Canada Playdate!,link,http://peoplem.ag/wN6hfoh,2016-09-29 13:41:49,7966,91,234,7174,763,27,3,0,0
95926963131_10154851967428132,"Ten days after Angelina Jolie filed for divorce from Brad Pitt, the two are now deep in private negotiations.",Angelina Jolie and Brad Pitt Are in Private Divorce Negotiations,link,http://peoplem.ag/lWBaDOk,2016-09-29 13:00:11,475,71,25,387,3,20,9,56,0
95926963131_10154851895998132,The late Miami Marlins pitcher showed off his paternal side when he deftly comforted a boy he saw crying in the stands.,José Fernández Once Asked a Crying Young Fan for His Autograph,link,http://peoplem.ag/Kzz8OLf,2016-09-29 12:24:02,4435,40,158,3014,608,11,0,800,2
95926963131_10154851825428132,"The witness said the accident caused a sound so loud, his first instinct was that a bomb had gone off.",Hoboken Train Accident Witness Describes Stepping Over Dead Body When Rushing to Help Crash Victims,link,http://peoplem.ag/zj8dJHZ,2016-09-29 11:48:05,478,22,49,214,0,53,0,209,2
95926963131_10154851735198132,Luke Bryan stepped up to care for Til and his nieces after the sudden death of Bryan's brother-in-law left his late sister's children without parents.,Luke Bryan on Raising Nephew Til: 'We Woke Up and Had a Teenager in Our Midst',link,http://peoplem.ag/5y21KeB,2016-09-29 11:12:31,8170,81,349,6515,1209,29,4,414,0
95926963131_10154851648783132,William Maillis is no ordinary kid when it comes to academics.,"9-Year-Old Graduates High School and Starts College, Wants to Become Astrophysicist",link,http://peoplem.ag/0ooLFv7,2016-09-29 10:36:06,9327,223,1056,6932,657,1714,20,4,0
95926963131_10154851574958132,It's official: Kate Plus 8 is returning to the small screen.,Kate Gosselin Confirms New Season of Kate Plus 8 Set to Premiere in January,link,http://peoplem.ag/4ZRgKT5,2016-09-29 10:00:07,3516,601,187,2752,202,61,31,57,414
95926963131_10154851504718132,A South Dakota mother and grandmother are facing charges in connection with a 2-year-old's death.,Grandma Covered Up 2-Year-Old's Beating Death Over Potty Training: Police,link,http://peoplem.ag/Ka9ZIUL,2016-09-29 09:22:08,5505,607,656,641,7,94,1,1630,3134
95926963131_10154851444058132,"Update: At least 1 dead and over 100 estimated injured, reports.",Multiple Injuries at New Jersey Commuter Station as Train Crashes into Station,link,http://peoplem.ag/MT0KPU4,2016-09-29 08:53:38,505,19,76,199,1,83,0,220,2
95926963131_10154851421988132,Jamie Brock is being hailed as a hero after subduing the 14-year-old gunman.,Volunteer Firefighter Hailed as a Hero for Taking Down South Carolina Elementary School Gunman,link,http://peoplem.ag/6ZFjIzW,2016-09-29 08:40:14,6956,74,310,6092,710,134,0,20,0
95926963131_10154851280248132,The day that coffee lovers around the world highly anticipate every year is finally here.,All the Places You Can Get Free Coffee for National Coffee Day,link,http://peoplem.ag/8Gr63Ai,2016-09-29 07:38:07,2546,238,1561,2348,171,21,4,1,1
95926963131_10154848614628132,Emily Blunt says Justin Theroux was the biggest jokester on The Girl on the Train set!,Emily Blunt Says Justin Theroux Is the Biggest Jokester on 'Th...,video,https://www.facebook.com/peoplemag/videos/10154848614628132/,2016-09-29 07:19:46,326,11,26,308,14,0,2,1,1
95926963131_10154851068148132,"The city council of Montreal, Canada, has passed a controversial pit bull ban.","Montreal Passes Bill to Ban All Pit Bull, Pit Bull-Type Dog or a Dog with Similar Characteristics",link,http://peoplem.ag/LUclqvP,2016-09-29 06:01:00,7818,932,1281,1173,49,162,9,1708,4717
95926963131_10154850990968132,Miami Marlins players joined scores of fans to honor star pitcher José Fernández after his shocking and tragic death.,Players and Fans Gather to Say Goodbye to Marlins Ace José Fernández in Moving Memorial Service,link,http://peoplem.ag/7h5QCs6,2016-09-29 05:00:18,5082,24,113,2903,274,5,1,1895,4
95926963131_10154849188023132,Meet the N.Y.C. trader who's using music to help the homeless: http://peoplem.ag/VFBEAjX,N.Y.C. Trader is Using Music to Help the Homeless,video,https://www.facebook.com/peoplemag/videos/10154849188023132/,2016-09-29 04:00:00,971,29,142,815,143,1,2,10,0
95926963131_10154850848378132,Eve Torres realized that having a perfect body was much less meaningful than enjoying life with her son Raeven.,Why WWE Star Eva Torres Gave Up on the Dream of a Perfect Post-Baby Body,link,http://peoplem.ag/LDyoRv4,2016-09-29 03:00:21,729,21,29,672,54,3,0,0,0
95926963131_10154850768698132,"When Irene Liao was 8 years old, she took 'Michael Jordan' to the grocery store, to the subway station and even to her classroom.",Girl Obsessed with Michael Jordan Carried Cardboard Cutout Everywhere: 'It Was Love at First Sight!',link,http://peoplem.ag/8migdwZ,2016-09-29 02:00:48,842,23,34,708,47,4,82,1,0
95926963131_10154850679963132,The man named in the AMBER Alert was found dead of a gunshot wound.,Man Found Dead After Being Named in AMBER Alert of Mom Who Allegedly Killed Her Kids,link,http://peoplem.ag/rMY8kQu,2016-09-29 01:00:27,546,69,72,251,3,130,0,112,50
95926963131_10154850586048132,José Fernández's pregnant girlfriend said one last goodbye to the late Miami Marlins' player.,José Fernández's Girlfriend Maria Arias Makes First Public Appearance at His Memorial Service,link,http://peoplem.ag/NPj5e4e,2016-09-28 23:55:06,13410,278,543,5098,337,27,4,7934,10
95926963131_10154850449188132,Jackson Millarker has just broken new ground on Modern Family.,Modern Family's Jackson Millarker: 5 Things to Know About TV's First Openly Transgender Child Actor,link,http://peoplem.ag/D8R9IWG,2016-09-28 23:06:03,2158,144,82,1848,231,16,2,42,19
95926963131_10154850388683132,The royals sure know how to put things diplomatically.,"William and Kate's Weirdest Canada Tour Moment So Far (Phallic-Shaped Clam, Anyone?)",link,http://peoplem.ag/P4kNhOU,2016-09-28 22:30:30,584,11,9,503,20,3,58,0,0
95926963131_10154850327248132,Robin and Annie Korkki were found unresponsive in their hotel beds.,Two Minnesota Sisters Found Dead on Vacation in the Seychelles,link,http://peoplem.ag/vNLGneC,2016-09-28 21:55:03,4085,171,402,994,15,667,3,2395,11
95926963131_10154850267308132,"Brad Pitt took a drug test voluntarily, and is cooperating fully and willingly with the DCFS.","Brad Pitt 'Cooperating Fully' with DCFS Investigation, Including Drug Test Request",link,http://peoplem.ag/LRkqXVL,2016-09-28 21:20:09,943,110,27,815,5,40,2,76,5
95926963131_10154850198378132,Donald J. Trump had some negative—and public—things to say about Kim Kardashian West when she was pregnant with North.,Donald Trump Calls Then-Pregnant Kim Kardashian West 'a Bit Large' in Newly Resurfaced Video,link,http://peoplem.ag/qujmLHc,2016-09-28 20:43:06,1775,970,94,734,19,97,605,15,305
95926963131_10154850148568132,Live from the Laid in America premiere party!,Instant,video,https://www.facebook.com/instantdotme/videos/548325948625399/,2016-09-28 20:16:55,183,3,0,176,7,0,0,0,0
95926963131_10154850053898132,"This highway patrol officer ""gave hope"" to a man who was grieving the loss of his teenage sister.",Ohio Patrolman Drives Man 100 Miles to Reach Family Grieving After Sister's Death,link,http://peoplem.ag/5dN4LeA,2016-09-28 19:30:20,5030,73,499,3873,906,14,1,233,3
95926963131_10154849966253132,A 37-year-old Utah man has been charged with allegedly holding his girlfriend's teenage daughter captive.,"Utah Man Allegedly Held Teen in Shed For Six Weeks, Forcing Her to Perform Sex Acts for Food and Water",link,http://peoplem.ag/x7WcTdc,2016-09-28 18:55:04,4000,454,382,630,4,238,2,185,2941
95926963131_10154849861083132,José Fernández's friend Eduardo Rivero was invited out on the boat—but felt uneasy about the whole thing.,"José Fernández's Friend Had a 'Bad Gut Feeling' About Fatal Boat Trip, Says Pitcher Seemed 'Stressed Out'",link,http://peoplem.ag/opR7hCZ,2016-09-28 18:20:11,1913,54,108,938,17,90,0,865,3
95926963131_10154849761903132,Janet Jackson gave a rare glimpse of her growing baby belly.,Pregnant Janet Jackson Shows Off Bump While Shopping for Baby,link,http://peoplem.ag/s7xuKZE,2016-09-28 17:38:05,3666,164,180,3302,272,89,1,1,1
95926963131_10154849700128132,A fugitive once featured on America's Most Wanted apparently got hitched while on the run from the police.,America's Most Wanted Fugitive Sought in 2005 Homicide Posts Wedding Photo on Social Media While on Run,link,http://peoplem.ag/LFnN09h,2016-09-28 17:05:12,2540,74,631,1172,14,805,477,24,48
95926963131_10154849580148132,Kate Hudson has forgiven her estranged biological father for abandoning her as a child.,Kate Hudson Opens Up About Her Relationship with Her Estranged Dad: 'I Forgive Him',link,http://peoplem.ag/RcU52CZ,2016-09-28 16:00:20,723,20,27,664,30,25,0,4,0
95926963131_10154848883648132,"Life as a teenager can be rough, but not as rough as life as a mom to a teenager. http://peoplem.ag/3DiuYjS",Mom Sarcastically Chalks Daughter's Lateness Up to 'Teenage-is...,video,https://www.facebook.com/peoplemag/videos/10154848883648132/,2016-09-28 15:27:00,2135,71,398,1451,160,4,516,2,2
95926963131_10154849348418132,Amanda Wendorff remembers the day when her family's life went from storybook charm to a medical hell that won't end.,Florida Mother and Three Sons Battle the Same Brain Disease: 'We Are a Medically Complex Family',link,http://peoplem.ag/UavujFC,2016-09-28 15:00:05,901,64,244,432,23,51,0,394,1
95926963131_10154849189448132,"Three people, including two students, were injured in the shooting.","2 Children, 1 Teacher Wounded in Shooting at South Carolina Elementary School, Police Say",link,http://peoplem.ag/LgTaa4e,2016-09-28 14:21:55,7664,332,2268,1488,9,280,7,3787,2093
95926963131_10154849111673132,Elizabeth Gilbert says she knows that her new romance with her longtime best friend has sparked speculation.,Elizabeth Gilbert Says She's Not Having 'a Midlife Crisis' After Leaving Her Husband for Best Friend,link,http://peoplem.ag/5ql5BEZ,2016-09-28 13:57:31,250,43,15,224,13,10,0,3,0
95926963131_10154848953423132,We're LIVE at the #KittenBowl!,PEOPLE Pets,video,https://www.facebook.com/peoplepets/videos/10154085711142869/,2016-09-28 12:57:31,485,57,0,375,84,1,24,1,0
95926963131_10154848822508132,It was the race of a lifetime – sort of.,Usain Bolt Races James Corden and Owen Wilson in Parking Lot Sprint (You Can Probably Guess Who Won),link,http://peoplem.ag/8hHvZ6i,2016-09-28 12:12:54,8327,188,983,5825,269,20,2212,1,0
95926963131_10154848769643132,One burn survivor is defying the odds—for a second time.,Burn Survivor Celebrates Second Pregnancy with Photo Shoot After Being Told She'd Never Give Birth,link,http://peoplem.ag/IXDYNrn,2016-09-28 11:53:42,5339,36,72,4624,652,59,1,4,0
