status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10513336322_10154576399286323,"""The journalistic consensus seems to be that television anchors and news reporters should call him out on his serial whoppers, as NBC's Leslie Holt did when moderating Monday's debate, and not preserve a false balance between two candidates of such disparate quality and seriousness – which would be to fall prey to what the media commentator Brooke Gladstone slyly calls fairness bias. 'Ah yes, Professor Smith, thank you for arguing that the Earth is round, and now let me give equal time and ostensible respect to Mr Jones, who argues that the Earth is flat.'""","Do you live in a Trump bubble, or a Clinton bubble? | Timothy Garton Ash",link,https://www.theguardian.com/commentisfree/2016/sep/29/trump-clinton-media-left-right-democracy?CMP=fb_gu,2016-09-29 17:50:00,148,35,41,134,5,1,5,1,2
10513336322_10154576385311323,OMG George R.R. Martin would you please focus on The Winds of Winter?,George RR Martin and Apple announce interactive Game of Thrones books collaboration,link,https://www.theguardian.com/books/2016/sep/29/george-rr-martin-and-apple-announce-collaboration-on-interactive-game-of-thrones-books?CMP=fb_gu,2016-09-29 17:30:01,552,54,71,447,7,20,68,0,10
10513336322_10154576375611323,Legal papers filed by the New York police department reveal that the department sent its own undercover officers to protests led by Black Lives Matter after the death of Eric Garner.,"NYPD sent undercover officers to Black Lives Matter protest, records reveal",link,https://www.theguardian.com/us-news/2016/sep/29/nypd-black-lives-matter-undercover-protests?CMP=fb_gu,2016-09-29 17:07:29,151,27,99,99,3,4,0,4,41
10513336322_10154575465376323,"""BB King and Ian Curtis sing about the same things. It's all life. In hip-hop, specifically, everything is sectioned off … Why are we still trying to limit ourselves?""",Unknown pleasures: why rappers like Danny Brown love Joy Division,link,https://www.theguardian.com/music/2016/sep/29/joy-division-rap-danny-brown-odd-future-vince-staples?CMP=fb_gu,2016-09-29 15:30:00,450,19,89,425,23,2,0,0,0
10513336322_10154575236121323,"""22, A Million is obviously not the first confounding, how-do-you-like-me-now gesture offered up in rock history. Traditionally, the danger with that kind of thing is that it can look like haughty obscurity for obscurity's sake, or, worse, wearyingly petulant. But for all its undoubted oddness, what's striking about the album is how straightforwardly enjoyable it is.""","Bon Iver: 22, A Million – the downsides of success never sounded so good",link,https://www.theguardian.com/music/2016/sep/29/bon-iver-22-a-million-the-downsides-of-success-never-sounded-so-good?CMP=fb_gu,2016-09-29 15:00:00,293,17,23,273,19,1,0,0,0
10513336322_10154575301186323,"""Everything good happened when I started focusing on my faith. I sound like I'm in the recruiting office, don't I?""",Mark Wahlberg: 'I played golf with Donald Trump. He was very Donald Trump-like',link,https://www.theguardian.com/film/2016/sep/29/mark-wahlberg-i-played-golf-with-donald-trump-he-was-very-donald-trump-like?CMP=fb_gu,2016-09-29 14:40:00,250,41,19,218,8,1,21,0,2
10513336322_10154575917576323,"Watch Steve Reich's ""Different Trains"" performed live at Edge Hill station in Liverpool by the London Contemporary Orchestra.

The piece was written by Steve Reich about how, as a Jew, the trains he travelled on in the US during World War II could have been the trains to death camps if his family had lived in Europe at the time. It was composed for string quartet and tape, and first performed in 1988. The performance starts about five minutes into the video stream.

The performance was produced by Metal Liverpool, and live streamed by Boiler Room","Steve Reich's ""Different Trains"" at Edge Hill station, Liverpool",video,https://www.facebook.com/theguardian/videos/10154575917576323/,2016-09-29 14:33:48,1619,563,304,1239,284,52,11,13,20
10513336322_10154575498351323,"Gun Nation explores the paradox of why America's most potent symbol of freedom is also one of its greatest killers.

A half hour documentary from The Guardian.",Gun Nation: a journey to the heart of America's obsession with...,video,https://www.facebook.com/theguardian/videos/10154575498351323/,2016-09-29 14:20:00,188,39,91,132,2,18,2,14,20
10513336322_1476448962382166,"Colorado Republicans were screaming ""Never Trump!"" at the GOP convention. Months later, Donald J. Trump is neck and neck in the state's polls. We visit this crucial swing state to see which way the electoral winds are blowing.",Can Hillary Clinton win in 'Never Trump' land? – video,video,https://www.facebook.com/theguardian/videos/1476448962382166/,2016-09-29 14:00:00,121,13,31,110,2,1,1,5,2
10513336322_10154574650981323,"There's a war going on behind closed doors for control of your smartphone. It's between the phone makers and the operators, but it's not over privacy or data or cost – it's over you.",The secret smartphone war over the struggle for control of the user,link,https://www.theguardian.com/technology/2016/sep/29/smartphone-war-operators-user-phone-service?CMP=fb_gu,2016-09-29 13:40:00,95,9,16,93,0,2,0,0,0
10513336322_10154575098001323,"""People in mainland China, they want to get their money out ... They believe that money out of China is safe money. And London is a safe-haven to park that money.""",'This is just the start': China's passion for foreign property,link,https://www.theguardian.com/cities/2016/sep/29/inside-china-passion-foreign-property-investment-uk?CMP=fb_gu,2016-09-29 13:20:00,143,29,47,112,1,5,5,1,19
10513336322_10154574977046323,"""During Seasick Steve's disco years, he looked quite a lot more like Keith Lemon than a member of the Band.""",How Seasick Steve turned out to be Session Man Steve,link,https://www.theguardian.com/music/musicblog/2016/sep/29/seasick-steve-session-musician-ramblin-man-book?CMP=fb_gu,2016-09-29 13:00:00,611,80,266,513,11,46,40,1,0
10513336322_10154574584496323,"""Get back to your Werther's Originals, a nice blanket, a Midsomer Murders box set and stop worrying about us young 'uns"".",Vogue editors declare war on young fashion bloggers: young fashion bloggers bite back,link,https://www.theguardian.com/media/2016/sep/29/vogue-editors-declare-war-fashion-bloggers?CMP=fb_gu,2016-09-29 12:40:00,500,57,70,412,11,1,72,0,4
10513336322_10154575087691323,Man's best genetically matched partner.,Secret of connection between dogs and humans could be genetic,link,https://www.theguardian.com/science/2016/sep/29/secret-of-connection-between-dogs-and-humans-could-be-genetic?CMP=fb_gu,2016-09-29 12:20:01,695,53,176,620,65,8,2,0,0
10513336322_10154575050046323,"The European Space Agency's Rosetta mission is about to come to a dramatic end. It has spent years successfully gathering data on 67P, a comet 317 million miles away from Earth that scientists hope may contain clues on the creation of the universe. This week it will be set on a collision course with the comet to end the mission",Rosetta space mission: a European success story,video,https://www.facebook.com/theguardian/videos/10154575050046323/,2016-09-29 12:00:00,156,8,30,135,7,2,0,11,1
10513336322_10154574473476323,"""When International Animal Rescue (IAR) staff found Didik, he was emaciated and near death. The 18-month-old orangutan, who had been dumped at a local store in Ketapang, Indonesia, had a bullet in his shoulder and had very likely seen his mother killed by the same people who put it there.""",Meet Didik: shot and orphaned baby orangutan highlights crisis,link,https://www.theguardian.com/environment/radical-conservation/2016/sep/29/meet-didik-shot-and-orphaned-baby-orangutan-highlights-crisis?CMP=fb_gu,2016-09-29 11:40:01,339,8,37,134,3,2,0,110,90
10513336322_10154574950961323,"""I was so excited and so happy. I like to help Canadian people from my heart.""",Syrian refugee comes to the rescue of Canadian bride's wedding dress,link,https://www.theguardian.com/world/2016/sep/29/syrian-refugee-comes-to-the-rescue-of-canadian-brides-wedding-dress?CMP=fb_gu,2016-09-29 11:20:01,8505,93,1083,7059,1393,37,11,5,1
10513336322_10154575156751323,Mind the chat.,'Tube chat' campaign provokes horror among London commuters,link,https://www.theguardian.com/uk-news/2016/sep/29/tube-chat-campaign-provokes-horror-among-london-commuters?CMP=fb_gu,2016-09-29 11:00:00,2417,407,606,1712,28,40,616,11,10
