status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10606591490_10154035234896491,Could this be the future?,This Guy Basically Turned His Mirror Into a Giant iPhone,link,http://ti.me/2devoHA,2016-09-29 22:01:08,493,24,65,403,15,46,29,0,0
10606591490_10154035180971491,"""We all have that one friend who claims she can survive—even thrive!—on just a few hours a night.""",The Truth About People Who Brag They Don't Need Much Sleep,link,http://ti.me/2de7BI0,2016-09-29 21:30:44,87,6,25,83,1,0,3,0,0
10606591490_10154035141261491,"""Why do we spend so much time doing something that has such a negative impact on our well-being?""",Why We're Addicted to Email,link,http://ti.me/2daveVT,2016-09-29 21:00:28,70,7,11,68,2,0,0,0,0
10606591490_10154035103106491,It has to do with who you're with.,This Factor Helps Determine Your Attractiveness to Others,link,http://ti.me/2dxGafM,2016-09-29 20:31:07,155,10,29,144,3,1,7,0,0
10606591490_10154035060536491,"""A woman is a drunk, a whore, whereas the guy's like a partyer, a player.""",Emily Blunt Speaks Out Against Double Standards Among Men and Women,link,http://ti.me/2dxGomL,2016-09-29 20:01:07,755,46,41,706,41,0,6,0,2
10606591490_10154035020561491,"Get ready, Lady Gaga fans.",It's Official: Lady Gaga Will Headline the 2017 Super Bowl Halftime Show,link,http://ti.me/2dvwUET,2016-09-29 19:30:07,3378,145,383,2758,517,69,8,4,22
10606591490_10154034993731491,President Obama says the Olympics belonged to American women. http://ti.me/2cES86l,Obama says Olympics belonged to women,video,https://www.facebook.com/time/videos/10154034993731491/,2016-09-29 19:15:44,875,27,55,781,81,3,9,0,1
10606591490_10154034973106491,"When Tom Brady enters the mix, apparently things get a little tense between these Boston fans.","Here's Your Chance to Have Pizza and Beer with Matt Damon, Ben Affleck and Tom Brady",link,http://ti.me/2ddPh3h,2016-09-29 19:00:17,330,52,51,297,19,4,10,0,0
10606591490_10154034937886491,"""Tattoos are for life, so why shouldn't burgers be free for life too, right?""",This Restaurant Will Give You Free Burgers for Life for Getting a Burger Tattoo,link,http://ti.me/2cZdqrh,2016-09-29 18:37:58,172,23,42,158,5,4,5,0,0
10606591490_10154034887841491,8. Nix your notifications.,10 Must-Read Tricks for Mastering Your New iPhone,link,http://ti.me/2daYr2W,2016-09-29 18:00:47,137,7,28,134,0,3,0,0,0
10606591490_10154034843041491,Pit bulls considered illegally owned will face euthanasia.,Canadian City Bans Pit Bull Ownership After Deadly Mauling,link,http://ti.me/2d9DvpT,2016-09-29 17:30:26,1700,152,176,478,19,29,3,517,654
10606591490_10154034804091491,"""How race still plays a role in abortion politics."" http://ti.me/2cZels0",Racial politics of abortion,video,https://www.facebook.com/time/videos/10154034804091491/,2016-09-29 17:00:49,175,22,26,114,4,14,2,12,29
10606591490_10154034753466491,Too adorable for words.,Prince George and Princess Charlotte Freak Out Over Balloons and Bubbles,link,http://ti.me/2ddrnor,2016-09-29 16:30:17,3947,84,79,3454,409,2,79,0,3
10606591490_10154034709646491,The newest iPhone hack.,How to Unlock Your iPhone Without Pressing Any Buttons,link,http://ti.me/2dcCnCH,2016-09-29 16:00:57,843,90,242,794,23,19,6,0,2
10606591490_10154034652801491,"""I closed my eyes, swallowed my puke, and hit the putt that happened to go in, so that was cool.""","Ryder Cup Heckler Gets Challenged to Putt, Sinks It, Wins $100",link,http://ti.me/2dhy6fQ,2016-09-29 15:30:05,273,22,30,253,4,5,11,0,0
10606591490_10154034572246491,Ever wonder why clowns give you a major case of the heebie-jeebies?,The Psychology Behind Why Clowns Creep Us Out,link,http://ti.me/2de4LCD,2016-09-29 15:00:48,402,97,241,359,1,18,18,2,4
10606591490_10154034486316491,He may hold the key to the mystery of Jon Snow's parentage.,Fans Think This 'Game of Thrones' Character May Appear in Season 7,link,http://ti.me/2cECAQ6,2016-09-29 14:30:39,376,25,30,355,13,7,1,0,0
10606591490_10154034391001491,"Shawn Mendes: ""I was thinking you should maybe update the playlist.""",This James Corden-Shawn Mendes Song Battle Is Pure Magic,link,http://ti.me/2dxBjLA,2016-09-29 14:01:06,183,4,10,173,8,0,2,0,0
10606591490_10154034327131491,The mayor compared Barack Obama to a monkey on Facebook.,Pennsylvania Mayor Asked to Resign Over Facebook Posts Criticized as Racist,link,http://ti.me/2de0qPV,2016-09-29 13:30:45,1494,207,184,763,11,203,54,22,441
10606591490_10154034247986491,Updates on the NJ Transit train crash in Hoboken,,video,https://www.facebook.com/time/videos/10154034247986491/,2016-09-29 12:56:05,1131,241,159,674,42,55,5,336,19
10606591490_10154034182226491,Millennials are copying celebrities and giving their children names from Instagram filters.,Baby Names Are Getting Weirder and Weirder,link,http://ti.me/2cYKJuN,2016-09-29 12:24:46,167,33,28,140,1,5,15,2,4
10606591490_10154034085636491,Megyn Kelly did not hold back on Donald J. Trump's campaign manager.,Megyn Kelly Grilled Kellyanne Conway on Trump's Women Issues,link,http://ti.me/2dudcJD,2016-09-29 11:30:18,486,53,18,449,21,1,15,0,0
10606591490_10154034031186491,Gigi Hadid's attacker tried to kiss Kim Kardashian West's rear in Paris.,Kim Kardashian Files Complaint Against Gigi Hadid Attacker,link,http://ti.me/2dh1ZgD,2016-09-29 11:00:53,417,66,6,328,6,5,47,1,30
10606591490_10154033975346491,"""I know every woman I met faced tremendous internal conflict over choosing to terminate a pregnancy, but this choice might be even more complicated for Black women.""",The Racial Politics of Abortion,link,http://ti.me/2ddzbF7,2016-09-29 10:30:20,88,15,5,88,0,0,0,0,0
10606591490_10154033940876491,"Syrian photographers reflect on their images of war: ""I didn't imagine I would see children's faces with a smile again. I felt so happy that day."" (Photograph by Sameer Al-Doumy—AFP/Getty Images). http://ti.me/2cEeHb6",Timeline Photos,photo,https://www.facebook.com/time/photos/a.470156966490.256744.10606591490/10154033940876491/?type=3,2016-09-29 10:15:16,263,5,9,237,7,0,0,18,1
10606591490_10154033901521491,The drawing gives Donald J. Trump a taste of his own medicine.,This Magazine Cover Turned Donald Trump Into a Beauty Queen,link,http://ti.me/2d9YjRt,2016-09-29 10:00:10,390,44,30,262,21,0,105,1,1
10606591490_10154033844961491,"""This is about discrediting the entire idea of a free and fair election.""",How Russia Wants to Undermine the U.S. Election,link,http://ti.me/2ddvJu3,2016-09-29 09:30:09,208,41,58,170,1,10,6,1,20
10606591490_10154033786046491,5. Make scrambled eggs in the microwave.,9 Breakfast Hacks That Will Speed Up Your Morning Routine,link,http://ti.me/2cE5NKX,2016-09-29 09:00:07,215,9,30,214,0,0,0,0,1
10606591490_10154033736491491,Playboy put a Muslim woman who wears a hijab on its pages for the first time ever.,A Muslim Woman Made History For Appearing in Playboy,link,http://ti.me/2du2D95,2016-09-29 08:30:24,7967,636,672,6660,281,569,361,22,74
10606591490_10154033676176491,5. Your muscles get stronger.,6 Amazing Body Changes When You Give Up Carbs,link,http://ti.me/2d8XDvy,2016-09-29 08:00:31,591,56,204,570,14,2,1,0,4
10606591490_10154033634646491,Carpet is actually the cleanest surface to drop food onto.,Science Confirms the Five-Second Rule Is Actually a Real Thing,link,http://ti.me/2d8WbcB,2016-09-29 07:30:32,375,23,59,338,8,16,13,0,0
10606591490_10154033588886491,Boredom really can hurt a relationship.,6 Things You Can Do to Improve Your Relationship,link,http://ti.me/2dgpSoo,2016-09-29 07:00:36,504,21,116,489,12,0,1,1,1
10606591490_10154033509871491,"It's rare, but not impossible.",The Science of How Women Can Have Twins With 2 Different Fathers,link,http://ti.me/2dtrLgb,2016-09-29 06:30:07,584,45,94,507,9,60,7,1,0
10606591490_10154033391071491,This is what matters most.,The 5 Things Your Kids Will Remember About You,link,http://ti.me/2dgpBlx,2016-09-29 06:00:12,1068,58,551,983,76,1,0,8,0
10606591490_10154033340211491,"Out of the pile of cast-off carbs, there are some you might want to keep.",Eat This Carb and You Won't Gain Weight,link,http://ti.me/2dtrr18,2016-09-29 05:30:13,440,18,134,416,8,14,2,0,0
10606591490_10154033311706491,Hint: Stop trying to impress.,How to Be Someone People Love to Talk to,link,http://ti.me/2dvXRfn,2016-09-29 05:00:26,354,11,111,342,8,1,3,0,0
10606591490_10154033283326491,"If you think a nap in the steam room is just what you need after an intense workout, think again.",Why You Shouldn't Use a Steam Room After Working Out,link,http://ti.me/2dtiV6A,2016-09-29 04:30:21,56,9,8,55,0,1,0,0,0
10606591490_10154033247101491,"Little lid spasms are common, but they can sometimes be a sign of trouble.",You Asked: Why Does My Eye Twitch?,link,http://ti.me/2dgr3US,2016-09-29 04:00:25,207,39,40,197,2,6,2,0,0
10606591490_10154033214826491,Happiness is something everyone wants.,15 Scientifically Proven Ways to Be Happier,link,http://ti.me/2cDlFx0,2016-09-29 03:30:04,660,12,235,642,14,1,2,0,1
10606591490_10154033171551491,Having so much variety may be wreaking havoc on our waistlines.,The Weird Thing That Packs on Calories—And Pounds,link,http://ti.me/2cDkCgE,2016-09-29 03:00:34,153,6,4,151,1,0,0,1,0
