status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
13652355666_10153888282480667,And we can't wait!,Lady Gaga to perform at Super Bowl LI halftime show,link,http://www.usatoday.com/story/sports/nfl/2016/09/29/lady-gaga-super-bowl-li-halftime-show/91298374/,2016-09-29 22:05:00,267,30,12,240,20,3,1,0,3
13652355666_10153888247345667,"If you're still having some trouble coming to grips with a golf world without Tiger Woods, you're not alone.",What is Tiger Woods even doing at the Ryder Cup?,link,http://www.usatoday.com/story/sports/christinebrennan/2016/09/29/tiger-woods-ryder-cup-vice-captain/91294358/,2016-09-29 21:05:00,846,81,9,833,4,2,7,0,0
13652355666_1196695423699438,He carries a part of his best friend with him every day.,Teen keeps best friend's memory alive,video,https://www.facebook.com/usatoday/videos/1196695423699438/,2016-09-29 20:30:00,1025,49,13,992,23,4,2,4,1
13652355666_1710684532589401,Watch a Ryder Cup heckler pull off the most legendary move of all time.,Ryder Cup heckler pulls off legendary putt,video,https://www.facebook.com/usatoday/videos/1710684532589401/,2016-09-29 20:25:55,1086,56,60,1048,13,3,23,0,0
13652355666_10153887559545667,"Don't worry, it's fake.",This satirical 'rapist recovery center' is all too real,link,http://college.usatoday.com/2016/09/29/this-satirical-rapist-recovery-center-is-all-too-real/,2016-09-29 20:02:00,968,61,0,955,5,1,6,1,0
13652355666_10153888159395667,"In the 34-year history of USA TODAY, the Editorial Board has never taken sides in the presidential race. Until now. http://usat.ly/2dIjh8C",USA TODAY's Editorial Board: Trump is 'unfit for the presidency',video,https://www.facebook.com/usatoday/videos/10153888159395667/,2016-09-29 19:52:15,4308,525,1655,3601,385,189,47,6,80
13652355666_10153887534645667,"There's major celebrity wattage getting on board the upcoming ""Murder on the Orient Express"" remake.","Johnny Depp, Daisy Ridley lead all-star 'Murder on the Orient Express' cast",link,http://www.usatoday.com/story/life/movies/2016/09/29/johnny-depp-daisy-ridley-lead-all-star-murder-orient-express-cast/91283000/,2016-09-29 19:30:00,1184,59,38,1158,16,9,1,0,1
13652355666_10153887521975667,Consider that the 2016 budget for the National Institutes of Health is $31.3 billion.,Can $3 billion cure Zuckerberg's ego?: Column,link,http://www.usatoday.com/story/opinion/2016/09/29/mark-zuckerberg-disease-3-billion-rd-cure-column/91275052/,2016-09-29 19:01:00,1245,76,18,1213,14,10,7,0,1
13652355666_10153887956200667,"""To Make America Great Again, we must elect Donald Trump the 45th president of the United States.""",Mike Pence: Donald Trump is ready to lead,link,http://www.usatoday.com/story/opinion/2016/09/29/mike-pence-donald-trump-editorials-debates/91295074/,2016-09-29 18:57:15,2509,487,101,1859,68,11,423,10,138
13652355666_10153887907185667,"By a unanimous consensus, the USA TODAY Opinion Editorial Board has broken the organization's 34-year history of never taking sides in a presidential race, declaring Donald Trump ""unfit for the presidency.""",USA TODAY's Editorial Board: Trump is 'unfit for the presidency',link,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,2016-09-29 18:36:46,35785,3310,20724,30440,2718,695,1477,37,422
