status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
6250307292_10154187271582293,"Retailers are typecasting your dog. And you'll pay more for that pink Supergirl costume, too.",Is your dog's Halloween costume sexist?,link,https://www.washingtonpost.com/news/business/wp/2016/09/29/is-your-dogs-halloween-costume-sexist/?tid=sm_fb,2016-09-29 20:00:00,49,17,20,37,0,1,10,1,0
6250307292_10154187065172293,At least 19 dead people were recently re-registered to vote in Virginia.,He fought in World War II. He died in 2014. And he just registered to vote in Va.,link,https://www.washingtonpost.com/local/virginia-politics/he-fought-in-world-war-ii-he-died-in-2014-and-he-just-registered-to-vote-in-va/2016/09/29/5e0bffee-8670-11e6-ac72-a29979381495_story.html?tid=sm_fb,2016-09-29 19:00:00,1599,260,1286,701,6,380,68,26,418
6250307292_10154187379847293,"This latest batch of Republicans includes former White House staffers, local officials and one past director of the Situation Room.",Clinton campaign rolls out a few dozen more Republican endorsements,link,https://www.washingtonpost.com/news/post-politics/wp/2016/09/29/clinton-campaign-rolls-out-a-few-dozen-more-republican-endorsements/?tid=sm_fb,2016-09-29 18:33:00,2269,96,243,1990,226,14,34,1,4
6250307292_10154187161522293,The Drug Enforcement Administration paid confidential informants millions of dollars without appropriate oversight.,"Amtrak, airline and package delivery company employees got rich as DEA informants",link,https://www.washingtonpost.com/world/national-security/amtrak-airline-and-package-delivery-company-employees-got-rich-as-dea-informants/2016/09/29/7fcb6f52-864d-11e6-92c2-14b64f3d453f_story.html?tid=sm_fb,2016-09-29 18:00:00,87,9,36,50,0,11,3,1,22
6250307292_10154187595047293,Donald J. Trump came under intense scrutiny Thursday for allegations that he knowingly violated the U.S. embargo on Cuba in the 1990s.,Report of Trump spending in Cuba could hurt his chances in pivotal Florida,link,http://wapo.st/2cEZFCa,2016-09-29 17:38:51,3367,510,961,2356,73,335,489,11,104
6250307292_10154187566602293,One of the protesters explaining why they didn't react angrily.,"Student arrested after wearing gorilla mask, handing out bananas at Black Lives Matter protest",link,http://wapo.st/2dDv1GE,2016-09-29 17:24:26,1553,410,716,688,9,91,109,56,600
6250307292_10154187142472293,"College roommate horror stories are nothing new, but most aren't as public as this.",What happens when your college roommate 'horror story' goes viral,link,https://www.washingtonpost.com/news/the-intersect/wp/2016/09/29/what-happens-when-your-college-roommate-horror-story-goes-viral/?tid=sm_fb,2016-09-29 17:00:00,110,38,47,88,1,6,10,3,2
6250307292_10154187430682293,"The National Transportation Safety Board holds a news conference on the deadly train crash in Hoboken, N.J.",National Transportation Safety Board news conference on N.J. t...,video,https://www.facebook.com/washingtonpost/videos/10154187430682293/,2016-09-29 16:39:06,491,188,94,293,21,19,3,147,8
6250307292_10154187273597293,"""Chinese entrepreneurs have figured out that this is a way to make a slightly better living.""",Why so many of America's sushi restaurants are Chinese-owned,link,https://www.washingtonpost.com/news/wonk/wp/2016/09/29/the-fascinating-story-behind-who-opens-sushi-restaurants-and-why/?tid=sm_fb,2016-09-29 16:30:02,190,23,54,163,6,2,19,0,0
6250307292_10154187150517293,"""I thought to myself, 'Oh my God, he's not slowing up,'"" one passenger said of the crash.",'It didn't slow down. It didn't brake': Witnesses describe deadly New Jersey train crash,link,https://www.washingtonpost.com/news/dr-gridlock/wp/2016/09/29/it-didnt-slow-down-it-didnt-brake-witnesses-describe-deadly-new-jersey-train-crash/?tid=sm_fb,2016-09-29 16:00:00,81,1,26,41,0,11,0,26,3
6250307292_10154187017592293,Most Wells Fargo customers won't be able to do a thing. Here's why.,Why Wells Fargo customers won't be able to sue the bank over fake accounts,link,https://www.washingtonpost.com/news/get-there/wp/2016/09/29/why-wells-fargo-customers-wont-be-able-to-sue-the-bank-over-fake-accounts/?tid=sm_fb,2016-09-29 15:30:01,380,80,166,140,0,33,1,8,198
6250307292_10154186941347293,"Landfall is far from certain, but well within the range of possibilities.",Hurricane Matthew may pose a threat to the U.S. coast next week,link,https://www.washingtonpost.com/news/capital-weather-gang/wp/2016/09/26/tropical-storm-matthew-is-likely-in-the-caribbean-this-week-but-the-track-is-uncertain/?tid=sm_fb,2016-09-29 15:00:00,166,13,142,116,3,38,0,8,1
